ID,projectname,classification,Abstract,label
0,jruby-1.4.0,DEFECT,"// TODO: we loose encoding information here, fix it",yes
1,jruby-1.4.0,DEFECT,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/",yes
2,jruby-1.4.0,DEFECT,// TODO: Numeric.new works in Ruby and it does here too.  However trying to use //   that instance in a numeric operation should generate an ArgumentError. Doing //   this seems so pathological I do not see the need to fix this now.,yes
3,jruby-1.4.0,DEFECT,"// TODO: Adding implicit nils caused multiple problems in compiler -- revist after landing //assert bodyNode != null : ""bodyNode is not null"";",yes
4,jruby-1.4.0,DEFECT,// TODO: take BigDecimal.mode into account.,yes
5,jruby-1.4.0,DEFECT,// TODO: full-precision remainder is 1000x slower than MRI!,yes
6,jruby-1.4.0,DEFECT,// FIXME: for some reason this dispatcher causes a VerifyError... //classClass.dispatcher = callbackFactory.createDispatcher(classClass);,yes
7,jruby-1.4.0,DEFECT,"// FIXME: I doubt any of the constants referenced in this method // are ever redefined -- should compare to the known values, rather // than do an expensive constant lookup.",yes
8,jruby-1.4.0,DEFECT,"// TODO: Rewriter and compiler assume case when empty expression.  In MRI this is just // a when. //        assert caseNode != null : ""caseNode is not null"";",yes
9,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
10,jruby-1.4.0,DEFECT,"// XXX Wrong, but will have to do for now",yes
11,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
12,jruby-1.4.0,DEFECT,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/",yes
13,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
14,jruby-1.4.0,DEFECT,"/**     * Get value from current scope or one of its captured scopes.     *      * FIXME: block variables are not getting primed to nil so we need to null check those     *  until we prime them properly.  Also add assert back in.     *      * @param offset zero-indexed value that represents where variable lives     * @param depth how many captured scopes down this variable should be set     * @return the value here     */",yes
15,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
16,jruby-1.4.0,DEFECT,// IMPORTANT: Receive the block argument before the opt and splat args // This is so that the *arg can be encoded as 'rest of the array'.  This // won't work if the block argument hasn't been received yet!,yes
17,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
18,jruby-1.4.0,DEFECT,// FIXME: I got a bunch of NPEs when I didn't check for nulls here...HOW?!,yes
19,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
20,jruby-1.4.0,DEFECT,// SSS FIXME: // // There are also differences in variable scoping between 1.8 and 1.9  // Ruby 1.8 is the buggy semantics if I understand correctly. // // The semantics of how this shadows other variables outside the block needs // to be figured out during live var analysis.,yes
21,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
22,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
23,jruby-1.4.0,DEFECT,"// This was a getOpt with one mandatory arg, but it did not work // so I am parsing it for now.",yes
24,jruby-1.4.0,DEFECT,"// This is the result of a bug that left off all trailing arguments. E.g.: //   system ""ls"", ""-1"", ""dir"" // would be seen as //   system ""ls""",yes
25,jruby-1.4.0,DEFECT,// FIXME: Broken but behaving,yes
26,jruby-1.4.0,DEFECT,"// TODO: We overflow on large files...We could increase to long to limit // this, but then the impl gets more involved since java io APIs based on // int (means we have to chunk up a long into a series of int ops).",yes
27,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
28,jruby-1.4.0,DEFECT,// If we outgrow our pushback stack then grow it (this should only happen in pretty  // pathological cases).,yes
29,jruby-1.4.0,DEFECT,// TODO: don't require pop,yes
30,jruby-1.4.0,DEFECT,"// FIXME: Arg may also be true, false, and nil and still be valid.  Strangely enough,  // protocol conversion is not happening in Ruby on this arg?",yes
31,jruby-1.4.0,DEFECT,// TODO: proper sign,yes
