ID,projectname,classification,Abstract,label
0,columba-1.4-src,DEFECT,// does not work: r.getFolderName() // does not work: r.getMessage().getUID(),yes
1,columba-1.4-src,DEFECT,// TODO: key can't be null,yes
2,columba-1.4-src,DEFECT,"// bug #997560 (fdietz): CC: should be in Cc:, instead of To: //toList.addAll(Arrays.asList(rfcHeader.getCc()));",yes
3,columba-1.4-src,DEFECT,// TODO check if we have to manually set the folder/uid in  // message controller to make this work,yes
4,columba-1.4-src,DEFECT,"// bug #997560 (fdietz): CC: should be in Cc:, instead of To:",yes
5,columba-1.4-src,DEFECT,// FIXME this is not correct,yes
6,columba-1.4-src,DEFECT,// FIXME correct year calculation,yes
7,columba-1.4-src,DEFECT,// FIXME check if the id is a correct file name! ,yes
8,columba-1.4-src,DEFECT,"// TODO: newUID, generate correctly formatted date string",yes
9,columba-1.4-src,DEFECT,// TODO fix doctype,yes
10,columba-1.4-src,DEFECT,// TODO: key can't be null,yes
11,columba-1.4-src,DEFECT,// TODO: fix parser exception,yes
12,columba-1.4-src,DEFECT,"/** * FIXME: *  * @author fdietz: No locking of folders currently implemented! *  * @author frd */",yes
13,columba-1.4-src,DESIGN,// TODO (@author fdietz): should be removed if we only use // Streams!,yes
14,columba-1.4-src,DESIGN,// FIXME (@author karlpeder): Is 3.2 the proper version of html to refer to?,yes
15,columba-1.4-src,DESIGN,// this is a hack for the multiline column,yes
16,columba-1.4-src,DESIGN,//TODO (@author tstich): do something,yes
17,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes
18,columba-1.4-src,DESIGN,// FIXME remove method // toolbarPane.add(c);,yes
19,columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n,yes
20,columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n,yes
21,columba-1.4-src,DESIGN,// TODO @author hubms: copied from frederiks search builder,yes
22,columba-1.4-src,DESIGN,// real stupid recreation of whole list model // -> replace with id-based listmodel update,yes
23,columba-1.4-src,DESIGN,// TODO (@author karlpeder): Extend handling of special entities as in restoreSpecialCharacters,yes
24,columba-1.4-src,DESIGN,"/**     * Transforms email-addresses into HTML just as     * substituteEmailAddress(String), but tries to ignore email-addresses,     * which are already links, if the ignore links flag is set.     * <br>     * This extended functionality is necessary when parsing a text which     * is already (partly) html.     * <br>     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??     *     * @param         s                                input text     * @param        ignoreLinks                if true link tags are ignored. This gives a     *                                                         wrong result if some e-mail adresses are     *                                                         already links (but uses reg. expr. directly,     *                                                         and is therefore faster)     * @return        text with email-adresses transformed to links     */",yes
25,columba-1.4-src,DESIGN,//TODO: Return content encoding according to the mime part in the mail,yes
26,columba-1.4-src,DESIGN,//TODO: Return content type according to the mime part in the mail,yes
27,columba-1.4-src,DESIGN,// hack to support dockable view title update // TODO replace with listener pattern,yes
28,columba-1.4-src,DESIGN,/*TODO stop polling thread?! */,yes
29,columba-1.4-src,DESIGN,// TODO @author hubms: bad: if there is a icon it is tagged or // not,yes
30,columba-1.4-src,DESIGN,// TODO categoryEnumeration,yes
31,columba-1.4-src,DESIGN,// hack: if start and end time is at 00:00:00:000 it is // an all day event,yes
32,columba-1.4-src,DESIGN,// register interest on store changes // TODO the dependency should be the other way around,yes
33,columba-1.4-src,DESIGN,"// TODO: fix layout to look good, even if there's not enough information provided",yes
34,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes
35,columba-1.4-src,DESIGN,// FIXME: ugly cast to ContactModel,yes
