ID,projectname,classification,Abstract,label
0,jEdit-4.2,DEFECT,// Technically incorrect here - we need to wrap null values // as bsh.Primitive.NULL.  However the This.invokeMethod() // will do that much for us. // We need to generate a conditional here to test for null // and return Primitive.NULL,yes
1,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes
2,jEdit-4.2,DEFECT,"// very subtle... if we leave this for // ensurePhysicalLineIsVisible(), an // extra line will be added to the // scroll line count.",yes
3,jEdit-4.2,DEFECT,// only works for jEdit plugins,yes
4,jEdit-4.2,DEFECT,// Warning: Null callstack here.  Don't think we need // a stack trace to indicate how we sourced the method.,yes
5,jEdit-4.2,DEFECT,// does it matter that this doesn't set the type correctly?,yes
6,jEdit-4.2,DEFECT,// Jun 9 2004 12:40 PM // waitFor() hangs on some Java // implementations.,yes
7,jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.,yes
8,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes
9,jEdit-4.2,DEFECT,/* two plugins provide same class! */,yes
10,jEdit-4.2,DEFECT,"// This really should be Long.decode, but there isn't one. As a result, // hex and octal literals ending in 'l' or 'L' don't work.",yes
11,jEdit-4.2,DEFECT,//{{{ Broken class,yes
12,jEdit-4.2,DEFECT,"// while its broken to have a null // symlinkPath, some older plugins // might...",yes
13,jEdit-4.2,DEFECT,"// This is not good... // need a way to update eval without re-installing... // so that we can re-eval params, etc. when classloader changes // look into this",yes
14,jEdit-4.2,DEFECT,// this seems to make nested readLock() calls work okay. // but I have no idea if it actually fixes things or not.,yes
15,jEdit-4.2,DEFECT,"// ... but if HyperSearch results window is floating, // the workaround causes problems!",yes
16,jEdit-4.2,DEFECT,//{{{ Set the buffer's path // Caveat: won't work if save() called with a relative path. // But I don't think anyone calls it like that anyway.,yes
17,jEdit-4.2,DEFECT,// TODO: move(x) shouldn't rely on calling next() x times,yes
18,jEdit-4.2,DEFECT,"// BUG: if there are multiple selections in different // contexts, the wrong comment strings will be inserted.",yes
19,jEdit-4.2,DEFECT,// TODO: move(x) shouldn't rely on calling next() x times,yes
20,jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.,yes
21,jEdit-4.2,DEFECT,// Fix for this bug: // -- Put a mode into the user dir with the same name as one //    on the system dir. // -- Reload edit modes. // -- Old mode from system dir still used for highlighting //    until jEdit restart.,yes
22,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes
23,jEdit-4.2,DEFECT,"/* 		Apparently in some environments you can't catch the security exception		at all...  e.g. as an applet in IE  ... will probably have to work 		around 	*/",yes
24,jEdit-4.2,DEFECT,"// If it exists, remove it and add it at the end (avoid memory leak)",yes
25,jEdit-4.2,DEFECT,// Race condition here...,yes
26,jEdit-4.2,DEFECT,"// // Use special cheats that speed up the code (currently about 50%), // but may cause problems with future maintenance and add to the // class file size (about 500 bytes). //",yes
