ID,projectname,classification,Abstract,label
0,emf-2.4.1,DEFECT,"// Bug 124306: we should rely on XMLCalendar to normalize Dave value, to ensure that all Date value // fields are taken into account.",yes
1,emf-2.4.1,DEFECT,// is this an error???,yes
2,emf-2.4.1,DEFECT,//FB Won't compile with VAJ or NO_JIKES  //FB Object adapter = adapterFactory.adapt(mapping);,yes
3,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes
4,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes
5,emf-2.4.1,DEFECT,// is this an error???,yes
6,emf-2.4.1,DEFECT,// line comments at the end of annotations are not a part of the range of annotation // TODO is not including line comments at the end of annotations a bug?,yes
7,emf-2.4.1,DEFECT,// EATM in JDK 1.4 there will be an indexOf on StringBuffer. //,yes
8,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes
9,emf-2.4.1,DESIGN,// EATM Call the deprecated method which does the same thing  // but might have an override in older code.,yes
10,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes
11,emf-2.4.1,DESIGN,// Unused?,yes
12,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //,yes
13,emf-2.4.1,DESIGN,// call workaround,yes
14,emf-2.4.1,DESIGN,// TODO deprecate (since getPluginClass() is no longer called) //,yes
15,emf-2.4.1,DESIGN,// Ensure that this race condition is thread safe; it doesn't matter who wins the race. //,yes
16,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //,yes
17,emf-2.4.1,DESIGN,"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //",yes
18,emf-2.4.1,DESIGN,//DMS handle this well.,yes
19,emf-2.4.1,DESIGN,// Unused?,yes
20,emf-2.4.1,DESIGN,//FB TBD can we come up with a better algorithm for choosing the default label feature?,yes
21,emf-2.4.1,DESIGN,//DMS should we let this exception out?,yes
22,emf-2.4.1,DESIGN,"//DMS What if Eclipse is running, but an invalid facade has been specified?  We still should format code, use encoding,...",yes
23,emf-2.4.1,DESIGN,//DMS  Do a better job with specific exceptions? Just use chained RuntimeExceptions?,yes
24,emf-2.4.1,DESIGN,"// If the delegate URI can be handled as a file,  // we'll hope that renaming it will be really efficient. //",yes
