projectname,classification,commenttext
apache-jmeter-2.10,DEFECT,// Don't try restoring the URL TODO: wy not?
apache-jmeter-2.10,DEFECT,// TODO: Why do we clone the return value? This is the only reference // to it (right?) so we shouldn't need a separate copy.
apache-jmeter-2.10,DEFECT,"/*     * Fix bug in JVMs that return true/false rather than True/False     * from the type editor getAsText() method     */"
apache-jmeter-2.10,DEFECT,// Should this also fail the sample? // Can happen for incorrect XPath expression
apache-jmeter-2.10,DEFECT,// TODO - why does null property have a value?
apache-jmeter-2.10,DEFECT,//int contentLength = httpMethod.getResponseContentLength();Not visible ... //TODO size ouststream according to actual content length
apache-jmeter-2.10,DEFECT,"// This would be sensible, but does not work: // public int hashCode() // { // return propMap.hashCode(); // }"
apache-jmeter-2.10,DEFECT,// FIXME Due to startEngine being commented engine will always be null //private StandardJMeterEngine engine;
apache-jmeter-2.10,DEFECT,// NOTE: these lines center the about dialog in the // current window. Some older Swing versions have // a bug in getLocationOnScreen() and they may not // make this behave properly.
apache-jmeter-2.10,DEFECT,// TODO - how can this be null?
apache-jmeter-2.10,DEFECT,// TODO display warning dialog as this can take some time
apache-jmeter-2.10,DEFECT,// TODO: may not work on all OSes?
apache-jmeter-2.10,DEFECT,"/*     * TODO: error counting needs to be sorted out.     *     * At present the Statistical Sampler tracks errors separately     * It would make sense to move the error count here, but this would     * mean lots of changes.     * It's also tricky maintaining the count - it can't just be incremented/decremented     * when the success flag is set as this may be done multiple times.     * The work-round for now is to do the work in the StatisticalSampleResult,     * which overrides this method.     * Note that some JMS samplers also create samples with > 1 sample count     * Also the Transaction Controller probably needs to be changed to do     * proper sample and error accounting.     * The purpose of this work-round is to allow at least minimal support for     * errors in remote statistical batch mode.     *     */"
apache-jmeter-2.10,DEFECT,// TODO: doesn't putting this here mark the tree as // saved even though a failure may occur later?
apache-jmeter-2.10,DEFECT,"// TODO - fix so that this is only called once per test, instead of at every clone // Perhaps save previous filename, and only load if it has changed?"
apache-jmeter-2.10,DEFECT,// Bug in above method
apache-jmeter-2.10,DEFECT,// TODO should we call test listeners? That might hang too ... //$NON-NLS-1$ // default is true
apache-jmeter-2.10,DEFECT,"// FIXME FACTOR WITH HTTPHC4Impl, HTTPHC3Impl // Just append all the parameter values, and use that as the post body"
apache-jmeter-2.10,DEFECT,"/** * The SSLManager handles the KeyStore information for JMeter. Basically, it * handles all the logic for loading and initializing all the JSSE parameters * and selecting the alias to authenticate against if it is available. * SSLManager will try to automatically select the client certificate for you, * but if it can't make a decision, it will pop open a dialog asking you for * more information. * * TODO: does not actually prompt * */"
apache-jmeter-2.10,DEFECT,"/*     * URGENT: TODO - sort out equals and hashCode() - at present equal     * instances can/will have different hashcodes - problem is, when a proper     * hashcode is used, tests stop working, e.g. listener data disappears when     * switching views... This presumably means that instances currently     * regarded as equal, aren't really equal.     *     * @see java.lang.Object#hashCode()     */"
apache-jmeter-2.10,DEFECT,"/*         * This means that a new page will be shown before rendering is complete,         * however the correct location will be displayed.         * Attempts to use a ""page"" PropertyChangeListener to detect when the page         * has been loaded failed to work any better.          */"
apache-jmeter-2.10,DEFECT,"// TODO - removes the nodes from the CheckDirty map - should it be done later, in case some can't be removed?"
apache-jmeter-2.10,DESIGN,// TODO turn into parameter?
apache-jmeter-2.10,DESIGN,// TODO: should this just call super()?
apache-jmeter-2.10,DESIGN,// TODO improve this
apache-jmeter-2.10,DESIGN,// TODO do contentType and/or dataEncoding belong in HTTPSampleResult instead?
apache-jmeter-2.10,DESIGN,// TODO - needs more work ...
apache-jmeter-2.10,DESIGN,// Maybe move to vector if MT problems occur
apache-jmeter-2.10,DESIGN,// TODO: This method doesn't appear to be used.
apache-jmeter-2.10,DESIGN,// TODO is this really necessary?
apache-jmeter-2.10,DESIGN,// Programming error: bail out.
apache-jmeter-2.10,DESIGN,// TODO should this throw an error?
apache-jmeter-2.10,DESIGN,// Programming error: bail out.
apache-jmeter-2.10,DESIGN,// houston we have a problem !!
apache-jmeter-2.10,DESIGN,//TODO replace with proper Exception
apache-jmeter-2.10,DESIGN,"// TODO - charset? // TODO this should really be request data, but there is none"
apache-jmeter-2.10,DESIGN,// in milli-seconds // TODO: properties?
apache-jmeter-2.10,DESIGN,//TODO - move to JOrphanUtils?
apache-jmeter-2.10,DESIGN,// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class
apache-jmeter-2.10,DESIGN,// Can be null (not sure why)
apache-jmeter-2.10,DESIGN,//TODO implement other non-text types
apache-jmeter-2.10,DESIGN,// TODO this is not populated currently
apache-jmeter-2.10,DESIGN,// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class // TODO - remove UnsharedComponent ? Probably does not make sense for a TestBean.
apache-jmeter-2.10,DESIGN,// $NON-NLS-1$ // TODO - use a different format here?
apache-jmeter-2.10,DESIGN,// NOTUSED: long[] longSample = getSamples(); // load each node
apache-jmeter-2.10,DESIGN,"//This can lead to code smell, meh! Do we care"
apache-jmeter-2.10,DESIGN,// TODO is this ever used?
apache-jmeter-2.10,DESIGN,// TODO is this the best way to do this?
apache-jmeter-2.10,DESIGN,// Programming error: bail out.
apache-jmeter-2.10,DESIGN,// Maybe move to vector if MT problems occur
apache-jmeter-2.10,DESIGN,// All keys in messages.properties are lowercase (historical reasons?)
apache-jmeter-2.10,DESIGN,//NOT USED protected double[][] data = null;
apache-jmeter-2.10,DESIGN,// Programming error: bail out.
apache-jmeter-2.10,DESIGN,// Programming error: bail out.
apache-jmeter-2.10,DESIGN,//TODO do this more efficiently
apache-jmeter-2.10,DESIGN,// TODO - should this use setFirst() ?
apache-jmeter-2.10,DESIGN,// Programming error: bail out.
apache-jmeter-2.10,DESIGN,"/*     *     * A Dom tree panel for to display response as tree view author <a     * href=""mailto:d.maung@mdl.com"">Dave Maung</a>      * TODO implement to find any nodes in the tree using TreePath.     *     */"
apache-jmeter-2.10,DESIGN,// TODO: Does this method need to be public? It isn't currently // called outside of this class.
apache-jmeter-2.10,DESIGN,"/*         * Does the system support UNC paths? If so, may need to fix them up         * later         */"
apache-jmeter-2.10,DESIGN,// Not used
apache-jmeter-2.10,DESIGN,// TODO should this be indeterminate? // TODO should this be indeterminate? //$NON-NLS-1$ //$NON-NLS-1$
apache-jmeter-2.10,DESIGN,// hack to skip processing
apache-jmeter-2.10,DESIGN,// TODO should we allow null for non-primitive types?
apache-jmeter-2.10,DESIGN,// TODO - not sure this is the best method
apache-jmeter-2.10,DESIGN,// TODO - is this needed?
apache-jmeter-2.10,DESIGN,// TODO - should we call start() and stop()?
apache-jmeter-2.10,DESIGN,// Not used
apache-jmeter-2.10,DESIGN,"// TODO: I believe the following code (to the end of the method) is // obsolete, // since NamePanel no longer seems to be the GUI for any component:"
apache-jmeter-2.10,DESIGN,// Method is broken anyway
apache-jmeter-2.10,DESIGN,// TODO is this a sensible number? //$NON-NLS-1$
apache-jmeter-2.10,DESIGN,// TODO work out how to search the XML pane
apache-jmeter-2.10,DESIGN,// TODO is this sensible?
apache-jmeter-2.10,DESIGN,"// Should we return fragment as text, rather than text of fragment?"
apache-jmeter-2.10,DESIGN,"/*         * Not clear what can cause this ? conflicting versions perhaps         */"
apache-jmeter-2.10,DESIGN,//TODO replace with proper Exception // return with an error
apache-jmeter-2.10,DESIGN,//TODO: validate contentType for reasonable types?
apache-jmeter-2.10,DESIGN,"/*     * Mask values for TEST_TYPE TODO: remove either MATCH or CONTAINS - they     * are mutually exckusive     */"
apache-jmeter-2.10,DESIGN,// TODO ought to be a FileChooser ...
apache-jmeter-2.10,DESIGN,// Allow JMeter to render frames (and relative images) // Must be done after setContentType [Why?]
apache-jmeter-2.10,DESIGN,// TODO - is this used? (apart from test code)
apache-jmeter-2.10,DESIGN,// TODO: should this be clearData()?
apache-jmeter-2.10,DESIGN,"/**     * Provide a description of this timer class.     *     * TODO: Is this ever used? I can't remember where. Remove if it isn't --     * TODO: or obtain text from bean's displayName or shortDescription.     *     * @return the description of this timer class.     */"
apache-jmeter-2.10,DESIGN,"/*             * Provide dummy implementations to suppress download and display of             * related resources: - FRAMEs - IMAGEs TODO create better dummy             * displays TODO suppress LINK somehow             */"
apache-jmeter-2.10,DESIGN,// TODO should this be JTLSAVER? Only seems to be called by MonitorHealthVisualzer
apache-jmeter-2.10,DESIGN,// TODO: Make the running indicator its own class instead of a JButton
apache-jmeter-2.10,DESIGN,"// If child of TransactionController is a ThroughputController and TPC does // not sample its children, then we will have this // TODO Should this be at warn level ?"
apache-jmeter-2.10,DESIGN,// $NON-NLS-1$ // so it agrees with above // TODO perhaps should share code with __time() function for this... // $NON-NLS-1$ $NON-NLS-2$ // $NON-NLS-1$ $NON-NLS-2$
apache-jmeter-2.10,DESIGN,// Hack to allow automated tests to find when test has ended //transient boolean testEnded = false;
apache-jmeter-2.10,DESIGN,// TODO could these be done earlier (or just once?)
apache-jmeter-2.10,DESIGN,// Hack to resolve ModuleControllers in non GUI mode
apache-jmeter-2.10,DESIGN,// add a system property so samplers can check to see if JMeter // is running in NonGui mode // $NON-NLS-1$ // TODO - why does it create a new instance?
