projectname,classification,commenttext
columba-1.4-src,DEFECT,// does not work: r.getFolderName() // does not work: r.getMessage().getUID()
columba-1.4-src,DEFECT,// TODO: key can't be null
columba-1.4-src,DEFECT,"// bug #997560 (fdietz): CC: should be in Cc:, instead of To: //toList.addAll(Arrays.asList(rfcHeader.getCc()));"
columba-1.4-src,DEFECT,// TODO check if we have to manually set the folder/uid in  // message controller to make this work
columba-1.4-src,DEFECT,"// bug #997560 (fdietz): CC: should be in Cc:, instead of To:"
columba-1.4-src,DEFECT,// FIXME this is not correct
columba-1.4-src,DEFECT,// FIXME correct year calculation
columba-1.4-src,DEFECT,// FIXME check if the id is a correct file name! 
columba-1.4-src,DEFECT,"// TODO: newUID, generate correctly formatted date string"
columba-1.4-src,DEFECT,// TODO fix doctype
columba-1.4-src,DEFECT,// TODO: key can't be null
columba-1.4-src,DEFECT,// TODO: fix parser exception
columba-1.4-src,DEFECT,"/** * FIXME: *  * @author fdietz: No locking of folders currently implemented! *  * @author frd */"
columba-1.4-src,DESIGN,// TODO (@author fdietz): should be removed if we only use // Streams!
columba-1.4-src,DESIGN,// FIXME (@author karlpeder): Is 3.2 the proper version of html to refer to?
columba-1.4-src,DESIGN,// this is a hack for the multiline column
columba-1.4-src,DESIGN,//TODO (@author tstich): do something
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// FIXME remove method // toolbarPane.add(c);
columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// TODO @author hubms: copied from frederiks search builder
columba-1.4-src,DESIGN,// real stupid recreation of whole list model // -> replace with id-based listmodel update
columba-1.4-src,DESIGN,// TODO (@author karlpeder): Extend handling of special entities as in restoreSpecialCharacters
columba-1.4-src,DESIGN,"/**     * Transforms email-addresses into HTML just as     * substituteEmailAddress(String), but tries to ignore email-addresses,     * which are already links, if the ignore links flag is set.     * <br>     * This extended functionality is necessary when parsing a text which     * is already (partly) html.     * <br>     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??     *     * @param         s                                input text     * @param        ignoreLinks                if true link tags are ignored. This gives a     *                                                         wrong result if some e-mail adresses are     *                                                         already links (but uses reg. expr. directly,     *                                                         and is therefore faster)     * @return        text with email-adresses transformed to links     */"
columba-1.4-src,DESIGN,//TODO: Return content encoding according to the mime part in the mail
columba-1.4-src,DESIGN,//TODO: Return content type according to the mime part in the mail
columba-1.4-src,DESIGN,// hack to support dockable view title update // TODO replace with listener pattern
columba-1.4-src,DESIGN,/*TODO stop polling thread?! */
columba-1.4-src,DESIGN,// TODO @author hubms: bad: if there is a icon it is tagged or // not
columba-1.4-src,DESIGN,// TODO categoryEnumeration
columba-1.4-src,DESIGN,// hack: if start and end time is at 00:00:00:000 it is // an all day event
columba-1.4-src,DESIGN,// register interest on store changes // TODO the dependency should be the other way around
columba-1.4-src,DESIGN,"// TODO: fix layout to look good, even if there's not enough information provided"
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// FIXME: ugly cast to ContactModel
columba-1.4-src,DESIGN,// @TODO dont use deprecated method
columba-1.4-src,DESIGN,/* TODO must get polling interval from config file */
columba-1.4-src,DESIGN,//      TODO: reactivate when feature is supported
columba-1.4-src,DESIGN,// If this folder has children add them // TODO: In the future we should try to fetch additional children on demand // when the tree of the dialog is opened
columba-1.4-src,DESIGN,// TODO (@author fdietz): Add more special entities - e.g. accenture chars such as ?
columba-1.4-src,DESIGN,"// TODO (@author waffel): encrypt AND sign dosN#t work. The message is // always only // encrypted. We need a function that knows, here // is an encrypted AND signed Message. Thus first encyrpt and then // verifySign the message // if this message is signed/encrypted we have to use // GnuPG to extract the decrypted bodypart // - multipart/encrypted // - multipart/signed"
columba-1.4-src,DESIGN,"/**     * Transforms urls into HTML just as substituteURL(String),     * but tries to ignore urls, which are already links, if the ignore     * links flag is set.     * <br>     * This extended functionality is necessary when parsing a text which     * is already (partly) html.     * <br>     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??     *     * @param         s                                input text     * @param        ignoreLinks                if true link tags are ignored. This gives a     *                                                         wrong result if some urls are already links     *                                                         (but uses reg. expr. directly, and is     *                                                         therefore faster)     * @return        text with urls     */"
columba-1.4-src,DESIGN,// TODO @author fdietz: ensure that we don't fetch individual // headers // to reduce client/server roundtrips
columba-1.4-src,DESIGN,// ??? bad to have release hardocoded here. Fix later...right.
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// hack: if start and end time is at 00:00:00:000 it is // an all day event
columba-1.4-src,DESIGN,//TODO: Open stream from the mime part specified by contentID of the  //currently viewed mail
columba-1.4-src,DESIGN,// something is very wrong here
columba-1.4-src,DESIGN,// its maybe better to leave this option out of the dialog // -> make it configurable in the xml file anyway
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// TODO: Make this hack more i18n compatible
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,/*TODO move resources to a resource file */
columba-1.4-src,DESIGN,// TODO: use UndoableEditEvent to make this really work
columba-1.4-src,DESIGN,// TODO: Should we take some action to ensure signature is valid // html?
columba-1.4-src,DESIGN,/* XXX should this be fired by a different thread? */
columba-1.4-src,DESIGN,//TODO:add a configuration of the cache size
columba-1.4-src,DESIGN,"/**	 * Command executes the search.	 * <p>	 * In case new result results arrive, it ensures that all interested	 * listeners are notified from inside the EDT.	 * <p>	 * FIXME: fdietz: No locking of folders currently implemented! TODO: fdietz:	 * create new Command for every provider to introduce real ""parallel"" search	 * 	 * @author fdietz	 */"
columba-1.4-src,DESIGN,"/*XXX this is not thread-safe, though luck. It isn't supposed to be. */"
columba-1.4-src,DESIGN,// TODO (@author fdietz): move this to AbstractMessageFolder constructor
columba-1.4-src,DESIGN,//TODO: Should this be renamed to cLoc or something more appropriate than clock?
columba-1.4-src,DESIGN,"/*         * TODO (@author karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight(),         * since this should take top- and bottom margin of this print         * object into account. But the height seems not to be set         * correctly in computePositionAndSize() (*20030604, karlpeder*)         */"
columba-1.4-src,DESIGN,"// we can't use SystemClassLoader here, because that // wouldn't work with java webstart, // ResourceBundle uses its own internal classloader // if no classloader is given //  -> set classloader = null"
columba-1.4-src,DESIGN,"//  // Note: We intentionally don't remember internal plugins, because // we don't want them to appear in the plugin manager currently. //  // TODO: improve plugin manager dialog to support internal plugins // which can't be removed, etc."
columba-1.4-src,DESIGN,// FIXME calendar?
columba-1.4-src,DESIGN,"// TODO @author hubms have this flags, until the speed of the entitymanager // is improved"
columba-1.4-src,DESIGN,// cleanup: remove port number file
columba-1.4-src,DESIGN,// TODO: There's probably a better way to do this hack...
columba-1.4-src,DESIGN,"/*TODO before inserting, find out if there's already a menu item     * with the same action command. if so, replace it, otherwise insert new     */"
columba-1.4-src,DESIGN,// TODO (@author fdietz): add import feature
columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// TODO (@author hubms): implement custom menuitem renderer
columba-1.4-src,DESIGN,// TODO @author fdietz: no paging used currently // show only first 5 results
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// real stupid recreation of whole menu model
columba-1.4-src,DESIGN,// TODO @author fdietz: no paging used currently // show only first 5 results
columba-1.4-src,DESIGN,// TODO: throw IllegalArgumentException in case a variable == null
columba-1.4-src,DESIGN,//TODO (@author fdietz): associate help with button and root pane
columba-1.4-src,DESIGN,// FIXME -- This will most likely not work. //          You want the element removed if the contents are the same //          Not just if the element reference is the same.
columba-1.4-src,DESIGN,"// // @author: fdietz // using shutdown-manager is wrong here, because this // automatically also calls the FrameManager, which  // also starts a second shutdown thread // -> This leads into two parallel shutdown thread which // -> is why sometimes config-files, etc. get messed up //        "
columba-1.4-src,DESIGN,// @author fdietz: hackish way of creating a search toolbar //JToolBar searchToolBar = new ExtendableToolBar();
columba-1.4-src,DESIGN,"/** * A Command uses the information provided from {@link DefaultCommandReference} * to execute itself. * <p> * TODO: remove IFrameMediator dependency *  * @author Timo Stich <tstich@users.sourceforge.net> */"
columba-1.4-src,DESIGN,"// manually rewrite the connection url, because // if there is no rewrite the database files are created // in the starting directory, we don't want that!"
columba-1.4-src,DESIGN,// TODO: fix updateActions //enableActions(getCurrentOwner());
columba-1.4-src,DESIGN,// TODO: @author hubms check what is neccessary // remove old filters // searchFolder.getFilter().getFilterRule().removeAll(); // add filter criteria // searchFolder.getFilter().getFilterRule().add(c);
columba-1.4-src,DESIGN,//TODO Let the AttachmentViewer get the focus so that this works
columba-1.4-src,DESIGN,//TODO: Open in message frame //TODO: Handle also message attachments from OpenInComposer action
columba-1.4-src,DESIGN,"// TODO (@author fdietz): add central place, which keeps a list of all possible //       colors, and provides a custom color configuration possibility"
columba-1.4-src,DESIGN,// @TODO dont use deprecated method
columba-1.4-src,DESIGN,// TODO (@author fdietz): implement custom menuitem renderer
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,"// FIXME (@author fdietz): Do we need this implementation in a TempFolder? // If not, just put an empty method here, just like in VirtualFolder."
columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n
columba-1.4-src,DESIGN,// TODO Ristretto should handle the logging of streams in another // way.
