projectname,classification,commenttext
jruby-1.4.0,DEFECT,"// TODO: we loose encoding information here, fix it"
jruby-1.4.0,DEFECT,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/"
jruby-1.4.0,DEFECT,// TODO: Numeric.new works in Ruby and it does here too.  However trying to use //   that instance in a numeric operation should generate an ArgumentError. Doing //   this seems so pathological I do not see the need to fix this now.
jruby-1.4.0,DEFECT,"// TODO: Adding implicit nils caused multiple problems in compiler -- revist after landing //assert bodyNode != null : ""bodyNode is not null"";"
jruby-1.4.0,DEFECT,// TODO: take BigDecimal.mode into account.
jruby-1.4.0,DEFECT,// TODO: full-precision remainder is 1000x slower than MRI!
jruby-1.4.0,DEFECT,// FIXME: for some reason this dispatcher causes a VerifyError... //classClass.dispatcher = callbackFactory.createDispatcher(classClass);
jruby-1.4.0,DEFECT,"// FIXME: I doubt any of the constants referenced in this method // are ever redefined -- should compare to the known values, rather // than do an expensive constant lookup."
jruby-1.4.0,DEFECT,"// TODO: Rewriter and compiler assume case when empty expression.  In MRI this is just // a when. //        assert caseNode != null : ""caseNode is not null"";"
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,"// XXX Wrong, but will have to do for now"
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,"/* TODO: We should use implicit nil for body, but problem (punt til later)*/"
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,"/**     * Get value from current scope or one of its captured scopes.     *      * FIXME: block variables are not getting primed to nil so we need to null check those     *  until we prime them properly.  Also add assert back in.     *      * @param offset zero-indexed value that represents where variable lives     * @param depth how many captured scopes down this variable should be set     * @return the value here     */"
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,// IMPORTANT: Receive the block argument before the opt and splat args // This is so that the *arg can be encoded as 'rest of the array'.  This // won't work if the block argument hasn't been received yet!
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,// FIXME: I got a bunch of NPEs when I didn't check for nulls here...HOW?!
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,// SSS FIXME: // // There are also differences in variable scoping between 1.8 and 1.9  // Ruby 1.8 is the buggy semantics if I understand correctly. // // The semantics of how this shadows other variables outside the block needs // to be figured out during live var analysis.
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,"// This was a getOpt with one mandatory arg, but it did not work // so I am parsing it for now."
jruby-1.4.0,DEFECT,"// This is the result of a bug that left off all trailing arguments. E.g.: //   system ""ls"", ""-1"", ""dir"" // would be seen as //   system ""ls"""
jruby-1.4.0,DEFECT,// FIXME: Broken but behaving
jruby-1.4.0,DEFECT,"// TODO: We overflow on large files...We could increase to long to limit // this, but then the impl gets more involved since java io APIs based on // int (means we have to chunk up a long into a series of int ops)."
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,// If we outgrow our pushback stack then grow it (this should only happen in pretty  // pathological cases).
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,"// FIXME: Arg may also be true, false, and nil and still be valid.  Strangely enough,  // protocol conversion is not happening in Ruby on this arg?"
jruby-1.4.0,DEFECT,// TODO: proper sign
jruby-1.4.0,DEFECT,"/**     * Get value from current scope or one of its captured scopes.     *      * FIXME: block variables are not getting primed to nil so we need to null check those     *  until we prime them properly.  Also add assert back in.     *      * @param offset zero-indexed value that represents where variable lives     * @param depth how many captured scopes down this variable should be set     * @return the value here     */"
jruby-1.4.0,DEFECT,// TODO: don't require pop
jruby-1.4.0,DEFECT,"// TODO: In MRI 1.9, an explicit check for negative length is // added here. IndexError is raised when length is negative. // See [ruby-core:12953] for more details. // // New note: This is actually under re-evaluation, // see [ruby-core:17483]."
jruby-1.4.0,DEFECT,// TODO: don't require pop
