projectname,classification,commenttext
jEdit-4.2,DEFECT,// Technically incorrect here - we need to wrap null values // as bsh.Primitive.NULL.  However the This.invokeMethod() // will do that much for us. // We need to generate a conditional here to test for null // and return Primitive.NULL
jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently..."
jEdit-4.2,DEFECT,"// very subtle... if we leave this for // ensurePhysicalLineIsVisible(), an // extra line will be added to the // scroll line count."
jEdit-4.2,DEFECT,// only works for jEdit plugins
jEdit-4.2,DEFECT,// Warning: Null callstack here.  Don't think we need // a stack trace to indicate how we sourced the method.
jEdit-4.2,DEFECT,// does it matter that this doesn't set the type correctly?
jEdit-4.2,DEFECT,// Jun 9 2004 12:40 PM // waitFor() hangs on some Java // implementations.
jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.
jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently..."
jEdit-4.2,DEFECT,/* two plugins provide same class! */
jEdit-4.2,DEFECT,"// This really should be Long.decode, but there isn't one. As a result, // hex and octal literals ending in 'l' or 'L' don't work."
jEdit-4.2,DEFECT,//{{{ Broken class
jEdit-4.2,DEFECT,"// while its broken to have a null // symlinkPath, some older plugins // might..."
jEdit-4.2,DEFECT,"// This is not good... // need a way to update eval without re-installing... // so that we can re-eval params, etc. when classloader changes // look into this"
jEdit-4.2,DEFECT,// this seems to make nested readLock() calls work okay. // but I have no idea if it actually fixes things or not.
jEdit-4.2,DEFECT,"// ... but if HyperSearch results window is floating, // the workaround causes problems!"
jEdit-4.2,DEFECT,//{{{ Set the buffer's path // Caveat: won't work if save() called with a relative path. // But I don't think anyone calls it like that anyway.
jEdit-4.2,DEFECT,// TODO: move(x) shouldn't rely on calling next() x times
jEdit-4.2,DEFECT,"// BUG: if there are multiple selections in different // contexts, the wrong comment strings will be inserted."
jEdit-4.2,DEFECT,// TODO: move(x) shouldn't rely on calling next() x times
jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.
jEdit-4.2,DEFECT,// Fix for this bug: // -- Put a mode into the user dir with the same name as one //    on the system dir. // -- Reload edit modes. // -- Old mode from system dir still used for highlighting //    until jEdit restart.
jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently..."
jEdit-4.2,DEFECT,"/* 		Apparently in some environments you can't catch the security exception		at all...  e.g. as an applet in IE  ... will probably have to work 		around 	*/"
jEdit-4.2,DEFECT,"// If it exists, remove it and add it at the end (avoid memory leak)"
jEdit-4.2,DEFECT,// Race condition here...
jEdit-4.2,DEFECT,"// // Use special cheats that speed up the code (currently about 50%), // but may cause problems with future maintenance and add to the // class file size (about 500 bytes). //"
jEdit-4.2,DEFECT,"// If it exists, remove it and add it at the end (avoid memory leak)"
jEdit-4.2,DEFECT,"/*			Original note: Jdk under Win is throwing these to			warn about lower case / upper case possible mismatch.			e.g. bsh.console bsh.Console				Update: Prior to 1.3 we were squeltching NoClassDefFoundErrors 			which was very annoying.  I cannot reproduce the original problem 			and this was never a valid solution.  If there are legacy VMs that			have problems we can include a more specific test for them here.		*/"
jEdit-4.2,DEFECT,"// this shouldn't happen, but..."
jEdit-4.2,DEFECT,// 18 nov 2003: calling this on a drive letter on Windows causes // drive access
jEdit-4.2,DEFECT,// 2 aug 2003: OS/2 Java has a broken getCanonicalPath()
jEdit-4.2,DEFECT,// Don't generate private or loosely typed fields // Note: loose types aren't currently parsed anyway...
jEdit-4.2,DEFECT,"// the view should not be null, but some plugins might do this"
jEdit-4.2,DEFECT,"// caching is not correct and doesn't seem to help... //	enclosingNameSpace.cacheClass( name, genClass );"
jEdit-4.2,DEFECT,"// dialogs fuck things up if a menu is visible, etc! //new BeanShellErrorDialog(view,e);"
jEdit-4.2,DEFECT,// charAt(index-n) may be unknown on a Reader/InputStream. FIXME // Match after a newline if in multiline mode
jEdit-4.2,DEFECT,"// If it exists, remove it and add it at the end (avoid memory leak)"
jEdit-4.2,DEFECT,// Warning: Null callstack here.  Don't think we need // a stack trace to indicate how we sourced the method.
jEdit-4.2,DEFECT,// this class is not very fast...
jEdit-4.2,DEFECT,"/*	Note: this method incorrectly caches the method structure.  It needs to	be cleared when the classloader changes.*/"
jEdit-4.2,DEFECT,// XXX: action bar might not be 'temp'
jEdit-4.2,DEFECT,// I wonder if the lack of this broke anything in the // past?
jEdit-4.2,DESIGN,"/*			Implement String += value;			According to the JLS, value may be anything.			In BeanShell, we'll disallow VOID (undefined) values.			(or should we map them to the empty string?)		*/"
jEdit-4.2,DESIGN,/* this should be before dockables are initialized */
jEdit-4.2,DESIGN,// is this right?
jEdit-4.2,DESIGN,// should we do this for both cases above?
jEdit-4.2,DESIGN,// need to loosen this to any throwable... do we need to handle // that in interpreter somewhere?  check first...
jEdit-4.2,DESIGN,// fucking GTK look and feel
jEdit-4.2,DESIGN,"/*		Note: this implementation is temporary. We currently keep a flat		namespace of the base name of classes.  i.e. BeanShell cannot be in the		process of defining two classes in different packages with the same		base name.  To remove this limitation requires that we work through		namespace imports in an analogous (or using the same path) as regular		class import resolution.  This workaround should handle most cases 		so we'll try it for now.	*/"
jEdit-4.2,DESIGN,// copy and paste from bsh/classpath/ClassManagerImpl.java...
jEdit-4.2,DESIGN,"// I wish I could make this ""friendly"" to only NameSpace"
jEdit-4.2,DESIGN,// undocumented hack to allow browser actions to work. // XXX - clean up in 4.3
jEdit-4.2,DESIGN,// Look for a default invoke() handler method in the namespace // Note: this code duplicates that in NameSpace getCommand() // is that ok?
jEdit-4.2,DESIGN,// This should be per instance
jEdit-4.2,DESIGN,// Can we use the proxy mechanism to cast a bsh.This to  // the correct interface?
jEdit-4.2,DESIGN,// redundant with constructor
jEdit-4.2,DESIGN,"/*		Issues to resolve here...		1) In which classloader should we define the class?		if there is a BshClassLoader should we define it there?		2) should we use reflection to set it in a non-bsh classloader		if there is one or should we always create a bsh classloader		(and expose its defineClass)?	*/"
jEdit-4.2,DESIGN,// could refactor these a bit
jEdit-4.2,DESIGN,"/*	Note: This class essentially just delegates most of its methods to its	parent.  The setVariable() indirection is very small.  We could probably	fold this functionality back into the base NameSpace as a special case.	But this has changed a few times so I'd like to leave this abstraction for	now.*/"
jEdit-4.2,DESIGN,// simplified these settings a little...
jEdit-4.2,DESIGN,"/*		Should check for strict java here and use isJavaAssignable() instead	*/"
jEdit-4.2,DESIGN,// workaround for Swing rendering labels starting // with <html> using the HTML engine
jEdit-4.2,DESIGN,// Look for a default invoke() handler method in the namespace // Note: this code duplicates that in This.java... should it? // Call on 'This' can never be a command
jEdit-4.2,DESIGN,// this method is a nightmare
