projectname,classification,commenttext
emf-2.4.1,DEFECT,"// Bug 124306: we should rely on XMLCalendar to normalize Dave value, to ensure that all Date value // fields are taken into account."
emf-2.4.1,DEFECT,// is this an error???
emf-2.4.1,DEFECT,//FB Won't compile with VAJ or NO_JIKES  //FB Object adapter = adapterFactory.adapt(mapping);
emf-2.4.1,DEFECT,// EATM must fix isSet bits.
emf-2.4.1,DEFECT,// EATM must fix isSet bits.
emf-2.4.1,DEFECT,// is this an error???
emf-2.4.1,DEFECT,// line comments at the end of annotations are not a part of the range of annotation // TODO is not including line comments at the end of annotations a bug?
emf-2.4.1,DEFECT,// EATM in JDK 1.4 there will be an indexOf on StringBuffer. //
emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //
emf-2.4.1,DESIGN,// EATM Call the deprecated method which does the same thing  // but might have an override in older code.
emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //
emf-2.4.1,DESIGN,// Unused?
emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //
emf-2.4.1,DESIGN,// call workaround
emf-2.4.1,DESIGN,// TODO deprecate (since getPluginClass() is no longer called) //
emf-2.4.1,DESIGN,// Ensure that this race condition is thread safe; it doesn't matter who wins the race. //
emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //
emf-2.4.1,DESIGN,"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //"
emf-2.4.1,DESIGN,//DMS handle this well.
emf-2.4.1,DESIGN,// Unused?
emf-2.4.1,DESIGN,//FB TBD can we come up with a better algorithm for choosing the default label feature?
emf-2.4.1,DESIGN,//DMS should we let this exception out?
emf-2.4.1,DESIGN,"//DMS What if Eclipse is running, but an invalid facade has been specified?  We still should format code, use encoding,..."
emf-2.4.1,DESIGN,//DMS  Do a better job with specific exceptions? Just use chained RuntimeExceptions?
emf-2.4.1,DESIGN,"// If the delegate URI can be handled as a file,  // we'll hope that renaming it will be really efficient. //"
emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));"
emf-2.4.1,DESIGN,// Assume that it's an attribute for now. // It will/could become a reference if the type resolves to an EClass. //
emf-2.4.1,DESIGN,"// Do nothing for now, and avoid propagating the exception.   // How should builders handle cancel?"
emf-2.4.1,DESIGN,"// this is a fall-back, however, this should never be called"
emf-2.4.1,DESIGN,// TODO fix the space above
emf-2.4.1,DESIGN,// TODO REMOVE THIS BOGUS EMPTY LINE
emf-2.4.1,DESIGN,// TODO handle class cast exception better.
emf-2.4.1,DESIGN,// I don't know if we should be run this deferred  // because we might have to give the editor a chance to process the viewer update events  // and hence to update the views first. //  //
emf-2.4.1,DESIGN,// This is a big festering hack to make the images the right size from the start. //
emf-2.4.1,DESIGN,// EATM Demand create metadata; needs to depend on processing mode...
emf-2.4.1,DESIGN,// TODO This is really quite attrocious since there is code that will assume an iterator that returns strings!
emf-2.4.1,DESIGN,//TBD return (user selected subset?) of referenced packages that contain super classes of classes in this package.
emf-2.4.1,DESIGN,// call the workaround
emf-2.4.1,DESIGN,// //TBD rethink where exactly some of the following methods belong (GenModel or GenPackage) //
emf-2.4.1,DESIGN,"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration"
emf-2.4.1,DESIGN,// EATM this would be wrong.
emf-2.4.1,DESIGN,// call workaround
emf-2.4.1,DESIGN,// REVISIT: Remove this code.
emf-2.4.1,DESIGN,// The label is not used. //
emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));"
emf-2.4.1,DESIGN,// Motif kludge: we would get something random instead of null. //
emf-2.4.1,DESIGN,// TODO So what should be the eType be now? //
emf-2.4.1,DESIGN,"// This runs the operation, and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //"
emf-2.4.1,DESIGN,// EATM Kind of hacky.
emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));"
emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));"
emf-2.4.1,DESIGN,"// This runs the operation, and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //"
emf-2.4.1,DESIGN,"// This is a kludge to deal with enumerators, which crash the doSwitch. //"
emf-2.4.1,DESIGN,"// This is a kludge to deal with enumerators, which crash the doSwitch. //"
emf-2.4.1,DESIGN,// This is copied from ItemProviderAdapterFactory. //
emf-2.4.1,DESIGN,// EATM This might be better written as a single loop for the EObject case? //
emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));"
emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));"
emf-2.4.1,DESIGN,// Second alternative should be getModelProject()?
emf-2.4.1,DESIGN,// TODO This is really quite attrocious since there is code that will assume an iterator that returns strings!
emf-2.4.1,DESIGN,// TODO Hack that should be removed.
emf-2.4.1,DESIGN,// TODO // Specialize this to return a resource locator for messages specific to this validator. // Ensure that you remove @generated or mark it @generated NOT
emf-2.4.1,DESIGN,// TODO // I'm concerned that folders will often return 401 or even 403. // So should we consider something to exist even though access if unauthorized or forbidden? //
emf-2.4.1,DESIGN,"// Only file-scheme URIs will be re-encoded. If a URI was decoded in the workaround // above, and Platform.resolve() didn't return a file-scheme URI, then this will return // an decoded URI. //"
emf-2.4.1,DESIGN,"// This functionality should eventually go away, as it is replaced by model exporters. // We'll just delegate to the deprecated GenPackage method. The monitor isn't used, so we won't pass it. //"
emf-2.4.1,DESIGN,// The eAnnotations and eGenericType are possible containment references.  // We'll move them instead of copying //
emf-2.4.1,DESIGN,"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas."
emf-2.4.1,DESIGN,// temporary structure to hold node's attributes + namespaces in scope
emf-2.4.1,DESIGN,// HACK: reading encoding
emf-2.4.1,DESIGN,"// Because of the old factoring approach in the create method,  // it might be the case that the state of the old value has changed by the time we get here, // and in that case, we don't want to duplicate the removals in this code. //"
emf-2.4.1,DESIGN,"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration"
emf-2.4.1,DESIGN,// REVISIT: Remove this code. // Store port value as string instead of integer.
emf-2.4.1,DESIGN,// TODO // This is faster than many charAt() calls. //
emf-2.4.1,DESIGN,// REVISIT: Remove this code.
emf-2.4.1,DESIGN,//REVISIT: do we really need to support block names as in Unicode 3.1 //         or we can just create all the names in IsBLOCKNAME format (XML Schema REC)? //
