projectname,classification,commenttext
jfreechart-1.0.19,DEFECT,// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3
jfreechart-1.0.19,DEFECT,// TODO: Check this result...
jfreechart-1.0.19,DEFECT,// TODO: Check this result...
jfreechart-1.0.19,DEFECT,//return cal.getTimeInMillis(); // preceding code won't work with JDK 1.3
jfreechart-1.0.19,DEFECT,// TODO: we didn't check the height yet
jfreechart-1.0.19,DEFECT,"// FIXME: we've cloned the chart, but the dataset(s) aren't cloned // and we should do that"
jfreechart-1.0.19,DEFECT,// todo: not serialized yet
jfreechart-1.0.19,DEFECT,// FIRST_MONDAY_AFTER_1900 = cal.getTime().getTime(); // preceding code won't work with JDK 1.3
jfreechart-1.0.19,DEFECT,// TODO: we didn't check the height yet
jfreechart-1.0.19,DESIGN,// this may be negative
jfreechart-1.0.19,DESIGN,// TODO: to be implemented
jfreechart-1.0.19,DESIGN,// TODO:  the subplot areas needs to be moved out of the plot into the plot //        state
jfreechart-1.0.19,DESIGN,//TODO: shift block down to bottom
jfreechart-1.0.19,DESIGN,"// TODO: it might be a good idea to keep a reference to the color // specified in setPaint() or setColor(), rather than creating a // new object every time getPaint() is called."
jfreechart-1.0.19,DESIGN,// TODO: for now we are ignoring the height constraint
jfreechart-1.0.19,DESIGN,// first determine the size of the chart rendering area... // TODO workout insets for SWT
jfreechart-1.0.19,DESIGN,// TODO: implement properly
jfreechart-1.0.19,DESIGN,// TODO: this must be wrong...
jfreechart-1.0.19,DESIGN,// TODO: we didn't check the width yet
jfreechart-1.0.19,DESIGN,// hack to ensure the newly created awt fonts will be rendered with the // same height as the swt one
jfreechart-1.0.19,DESIGN,//TODO: shift block right by half
jfreechart-1.0.19,DESIGN,// FIXME: need a locale as well as a timezone
jfreechart-1.0.19,DESIGN,//TODO: shift block over to right
jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?
jfreechart-1.0.19,DESIGN,// TODO find a better localization key
jfreechart-1.0.19,DESIGN,// TODO:  this attribute should be transferred to the renderer state.
jfreechart-1.0.19,DESIGN,"// FIXME: implement this, low priority"
jfreechart-1.0.19,DESIGN,// FIXME: the XYItemRenderer interface doesn't specify the // getAnnotations() method but it should
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,"// calculate the adjusted data area taking into account the 3D effect... // this assumes that there is a 3D renderer, all this 3D effect is a // bit of an ugly hack..."
jfreechart-1.0.19,DESIGN,// TODO:  add constructors for combinations of number and date formatters.
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// TODO: move to plot state
jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...
jfreechart-1.0.19,DESIGN,// defer argument checking
jfreechart-1.0.19,DESIGN,//FIXME we should really assert a value here
jfreechart-1.0.19,DESIGN,"// TO DO:  these annotations only work with XYPlot, see if it is possible to // make ContourPlot a subclass of XYPlot (DG);"
jfreechart-1.0.19,DESIGN,//FIXME we should really assert a value
jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?
jfreechart-1.0.19,DESIGN,"// not strictly necessary, since the // renderer set for the // parent plot is not used"
jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?
jfreechart-1.0.19,DESIGN,// TODO : complete this
jfreechart-1.0.19,DESIGN,// TODO: to be implemented
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// TODO: to be implemented
jfreechart-1.0.19,DESIGN,// defer argument checking
jfreechart-1.0.19,DESIGN,// TODO: to be implemented
jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?
jfreechart-1.0.19,DESIGN,// TODO: fix output when this flag is set to true
jfreechart-1.0.19,DESIGN,// TODO: for now we are ignoring the height constraint
jfreechart-1.0.19,DESIGN,// TODO:  move the above to the plot state
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// FIXME:  this code means that it is not possible to use more than // one domain axis for the combined plots...
jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...
jfreechart-1.0.19,DESIGN,"// not strictly necessary, since the // renderer set for the // parent plot is not used"
jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...
jfreechart-1.0.19,DESIGN,// end of workaround
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,"// TODO: could change this to itemFillPaint().  For backwards // compatibility, it might require a useFillPaint flag."
jfreechart-1.0.19,DESIGN,// a redraw should NOT trigger another change event
jfreechart-1.0.19,DESIGN,// unused in parent
jfreechart-1.0.19,DESIGN,// TODO:  this attribute should be transferred to the renderer state.
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,"// TODO: In JFreeChart 1.2.0, put this method in the // CategoryItemRenderer interface"
jfreechart-1.0.19,DESIGN,// TODO: rotate the image when drawn with horizontal orientation?
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// defer argument checking
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// defer argument checking
jfreechart-1.0.19,DESIGN,// TODO: implement this properly
jfreechart-1.0.19,DESIGN,// FIXME: this should generate a series change event
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// defer argument checking
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// defer argument checking
jfreechart-1.0.19,DESIGN,//FIXME we should really assert a value here
jfreechart-1.0.19,DESIGN,// defer argument checking
jfreechart-1.0.19,DESIGN,// a redraw should NOT trigger another change event
jfreechart-1.0.19,DESIGN,// CREATE ENTITIES // FIXME:  these methods should be defined
jfreechart-1.0.19,DESIGN,// a redraw should NOT trigger another change event
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,"// FIXME: the renderer interface doesn't have the drawDomainLine() // method, so we have to rely on the renderer being a subclass of // AbstractXYItemRenderer (which is lame)"
jfreechart-1.0.19,DESIGN,// defer argument checking...
jfreechart-1.0.19,DESIGN,// FIXME: this attribute is not used - deprecate?
jfreechart-1.0.19,DESIGN,"// TODO: by coding the event with some information about what changed // in the dataset, we could make the recalculation of the interval // more efficient in some cases (for instance, if the change is // just an update to a y-value, then the x-interval doesn't need // updating)..."
jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...
jfreechart-1.0.19,DESIGN,// defer argument checking...
