Unnamed: 0,projectname,classification,Abstract,code,new_code,time,pre_label
0,emf-2.4.1,DEFECT,"// Bug 124306: we should rely on XMLCalendar to normalize Dave value, to ensure that all Date value // fields are taken into account.",yes,yes,0,no
1,emf-2.4.1,DEFECT,// is this an error???,yes,yes,0,no
2,emf-2.4.1,DEFECT,//FB Won't compile with VAJ or NO_JIKES  //FB Object adapter = adapterFactory.adapt(mapping);,yes,yes,0,no
3,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes,yes,0,no
4,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes,yes,0,no
5,emf-2.4.1,DEFECT,// is this an error???,yes,yes,0,no
6,emf-2.4.1,DEFECT,// line comments at the end of annotations are not a part of the range of annotation // TODO is not including line comments at the end of annotations a bug?,yes,yes,0,yes
7,emf-2.4.1,DEFECT,// EATM in JDK 1.4 there will be an indexOf on StringBuffer. //,yes,yes,0,no
8,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes,yes,0,yes
9,emf-2.4.1,DESIGN,// EATM Call the deprecated method which does the same thing  // but might have an override in older code.,yes,yes,0,no
10,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes,yes,0,yes
11,emf-2.4.1,DESIGN,// Unused?,yes,yes,0,no
12,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //,yes,yes,0,yes
13,emf-2.4.1,DESIGN,// call workaround,yes,yes,0,yes
14,emf-2.4.1,DESIGN,// TODO deprecate (since getPluginClass() is no longer called) //,yes,yes,0,yes
15,emf-2.4.1,DESIGN,// Ensure that this race condition is thread safe; it doesn't matter who wins the race. //,yes,yes,0,no
16,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //,yes,yes,0,yes
17,emf-2.4.1,DESIGN,"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //",yes,yes,0,yes
18,emf-2.4.1,DESIGN,//DMS handle this well.,yes,yes,0,no
19,emf-2.4.1,DESIGN,// Unused?,yes,yes,0,no
20,emf-2.4.1,DESIGN,//FB TBD can we come up with a better algorithm for choosing the default label feature?,yes,yes,0,no
21,emf-2.4.1,DESIGN,//DMS should we let this exception out?,yes,yes,0,no
22,emf-2.4.1,DESIGN,"//DMS What if Eclipse is running, but an invalid facade has been specified?  We still should format code, use encoding,...",yes,yes,0,no
23,emf-2.4.1,DESIGN,//DMS  Do a better job with specific exceptions? Just use chained RuntimeExceptions?,yes,yes,0,no
24,emf-2.4.1,DESIGN,"// If the delegate URI can be handled as a file,  // we'll hope that renaming it will be really efficient. //",yes,yes,1573053125,no
25,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,yes,0,no
26,emf-2.4.1,DESIGN,// Assume that it's an attribute for now. // It will/could become a reference if the type resolves to an EClass. //,yes,yes,0,no
27,emf-2.4.1,DESIGN,"// Do nothing for now, and avoid propagating the exception.   // How should builders handle cancel?",yes,yes,0,no
28,emf-2.4.1,DESIGN,"// this is a fall-back, however, this should never be called",yes,yes,0,no
29,emf-2.4.1,DESIGN,// TODO fix the space above,yes,yes,0,yes
30,emf-2.4.1,DESIGN,// TODO REMOVE THIS BOGUS EMPTY LINE,yes,yes,0,yes
31,emf-2.4.1,DESIGN,// TODO handle class cast exception better.,yes,yes,0,yes
32,emf-2.4.1,DESIGN,// I don't know if we should be run this deferred  // because we might have to give the editor a chance to process the viewer update events  // and hence to update the views first. //  //,yes,yes,0,no
33,emf-2.4.1,DESIGN,// This is a big festering hack to make the images the right size from the start. //,yes,yes,0,yes
34,emf-2.4.1,DESIGN,// EATM Demand create metadata; needs to depend on processing mode...,yes,yes,0,no
35,emf-2.4.1,DESIGN,// TODO This is really quite attrocious since there is code that will assume an iterator that returns strings!,yes,yes,0,yes
36,emf-2.4.1,DESIGN,//TBD return (user selected subset?) of referenced packages that contain super classes of classes in this package.,yes,yes,0,no
37,emf-2.4.1,DESIGN,// call the workaround,yes,yes,0,yes
38,emf-2.4.1,DESIGN,// //TBD rethink where exactly some of the following methods belong (GenModel or GenPackage) //,yes,yes,0,no
39,emf-2.4.1,DESIGN,"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration",yes,yes,0,no
40,emf-2.4.1,DESIGN,// EATM this would be wrong.,yes,yes,0,no
41,emf-2.4.1,DESIGN,// call workaround,yes,yes,0,yes
42,emf-2.4.1,DESIGN,// REVISIT: Remove this code.,yes,yes,0,no
43,emf-2.4.1,DESIGN,// The label is not used. //,yes,yes,0,no
44,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,yes,0,no
45,emf-2.4.1,DESIGN,// Motif kludge: we would get something random instead of null. //,yes,yes,1572973091,no
46,emf-2.4.1,DESIGN,// TODO So what should be the eType be now? //,yes,yes,0,yes
47,emf-2.4.1,DESIGN,"// This runs the operation, and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //",yes,yes,0,no
48,emf-2.4.1,DESIGN,// EATM Kind of hacky.,yes,yes,0,no
49,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,yes,0,no
50,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,yes,0,no
51,emf-2.4.1,DESIGN,"// This runs the operation, and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //",yes,yes,0,no
52,emf-2.4.1,DESIGN,"// This is a kludge to deal with enumerators, which crash the doSwitch. //",yes,yes,0,no
53,emf-2.4.1,DESIGN,"// This is a kludge to deal with enumerators, which crash the doSwitch. //",yes,yes,0,no
54,emf-2.4.1,DESIGN,// This is copied from ItemProviderAdapterFactory. //,yes,yes,0,no
55,emf-2.4.1,DESIGN,// EATM This might be better written as a single loop for the EObject case? //,yes,yes,0,no
56,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,yes,0,no
57,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,yes,0,no
58,emf-2.4.1,DESIGN,// Second alternative should be getModelProject()?,yes,yes,0,no
59,emf-2.4.1,DESIGN,// TODO This is really quite attrocious since there is code that will assume an iterator that returns strings!,yes,yes,0,yes
60,emf-2.4.1,DESIGN,// TODO Hack that should be removed.,yes,yes,0,yes
61,emf-2.4.1,DESIGN,// TODO // Specialize this to return a resource locator for messages specific to this validator. // Ensure that you remove @generated or mark it @generated NOT,yes,yes,1572973125,yes
62,emf-2.4.1,DESIGN,// TODO // I'm concerned that folders will often return 401 or even 403. // So should we consider something to exist even though access if unauthorized or forbidden? //,yes,yes,0,yes
63,emf-2.4.1,DESIGN,"// Only file-scheme URIs will be re-encoded. If a URI was decoded in the workaround // above, and Platform.resolve() didn't return a file-scheme URI, then this will return // an decoded URI. //",yes,yes,1573053134,yes
64,emf-2.4.1,DESIGN,"// This functionality should eventually go away, as it is replaced by model exporters. // We'll just delegate to the deprecated GenPackage method. The monitor isn't used, so we won't pass it. //",yes,yes,0,no
65,emf-2.4.1,DESIGN,// The eAnnotations and eGenericType are possible containment references.  // We'll move them instead of copying //,yes,yes,1572973110,no
66,emf-2.4.1,DESIGN,"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas.",yes,yes,1572973122,no
67,emf-2.4.1,DESIGN,// temporary structure to hold node's attributes + namespaces in scope,yes,yes,0,no
68,emf-2.4.1,DESIGN,// HACK: reading encoding,yes,yes,1572973127,yes
69,emf-2.4.1,DESIGN,"// Because of the old factoring approach in the create method,  // it might be the case that the state of the old value has changed by the time we get here, // and in that case, we don't want to duplicate the removals in this code. //",yes,yes,0,no
70,emf-2.4.1,DESIGN,"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration",yes,yes,0,no
71,emf-2.4.1,DESIGN,// REVISIT: Remove this code. // Store port value as string instead of integer.,yes,yes,0,no
72,emf-2.4.1,DESIGN,// TODO // This is faster than many charAt() calls. //,yes,yes,0,yes
73,emf-2.4.1,DESIGN,// REVISIT: Remove this code.,yes,yes,0,no
74,emf-2.4.1,DESIGN,//REVISIT: do we really need to support block names as in Unicode 3.1 //         or we can just create all the names in IsBLOCKNAME format (XML Schema REC)? //,yes,yes,0,no
