Document Title,Abstract,Year,PDF Link,label,code,time
,// Yow...this is still ugly,,,unknown,yes,1572623787
,"// context is null, wipe out the SoftReference (this could be done with a reference queue)",,,unknown,yes,1572623785
,"// IN FACT, we should probably raise an error, yes?",,,unknown,yes,1572623780
,// If we outgrow our pushback stack then grow it (this should only happen in pretty  // pathological cases).,,,unknown,yes,1572623777
,"// Must be called from main thread (it is currently, but this bothers me)",,,unknown,yes,1572623770
,// lame generics issues: making Segment class static and manually // inserting cache reference to work around various problems generically // referencing methods/vars across classes.,,,unknown,yes,1572623766
,"// This is the result of a bug that left off all trailing arguments. E.g.: //   system ""ls"", ""-1"", ""dir"" // would be seen as //   system ""ls""",,,unknown,yes,1572623761
,// Hacky: Advance position to eat newline here....,,,unknown,yes,1572623746
,"// SSS FIXME: Receiver -- this is the class meta object basically? // Operand receiver = build(defsNode.getReceiverNode(), s);",,,unknown,yes,1572623745
,// Bunch of methods still not implemented,,,unknown,yes,1572623743
,// We use a highly uncommon string to represent the paragraph delimiter (100% soln not worth it) ,,,unknown,yes,1572623670
,// Is there something built into JRuby to do this?,,,unknown,yes,1572623614
,// XXX: 0xffff0000 on BE?,,,unknown,yes,1572623610
,// Enebo:  c can never be antrhign but '.' // Why did I put this here?,,,unknown,yes,1572623607
,"/** * Represents the the dynamic portion of scoping information.  The variableValues are the * values of assigned local or block variables.  The staticScope identifies which sort of * scope this is (block or local). *  * Properties of Dynamic Scopes: * 1. static and dynamic scopes have the same number of names to values * 2. size of variables (and thus names) is determined during parsing.  So those structured do *    not need to change * * FIXME: When creating dynamic scopes we sometimes accidentally pass in extra parents.  This * is harmless (other than wasting memory), but we should not do that.  We can fix this in two * ways: * 1. Fix all callers * 2. Check parent that is passed in and make if new instance is local, then its parent is not local */",,,unknown,yes,1572623570
,/* may need to handle ENC_CODERANGE_BROKEN */,,,unknown,yes,1572623559
,"// Length check is a hack.  We should not be reeiving """" as a filename ever. ",,,unknown,yes,1572623519
,"// Can this call lead to ruby code getting modified?   // If we don't know what method we are calling, we assume it can (pessimistic, but safe!) // If we do know the target method, we ask the method itself whether it modifies ruby code",,,unknown,yes,1572623501
,// Is the parser currently within a method definition,,,unknown,yes,1572623495
,// array created for rescue args doesn't need to be in ObjectSpace.,,,unknown,yes,1572623483
,"// ignore, we're on the way out",,,unknown,yes,1572623473
,"// FIXME: DSTR,EVSTR,STR: warning ""string literal in condition""",,,unknown,yes,1572623462
,// ENEBO: Can these be fast?,,,unknown,yes,1572623427
,"// ENEBO: 1.9 is IS_ARG, but we need to break apart for 1.8 support.",,,unknown,yes,1572623413
,/*XXX 0;*/,,,unknown,yes,1572623370
,/* XXX*/,,,unknown,yes,1572623368
,// FIXME: Old Mac format strings?,,,unknown,yes,1572623339
,// FIXME: Old Mac format strings?,,,unknown,yes,1572623337
,"// TODO: it's not clear to me why, in FloatingDecimal, the // ""slop"" calculation performed above for positive exponents // isn't used for negative exponents as well. Will find out...",,,unknown,yes,1572623335
,// add (potentially) overridden names to the key. // TODO: see note above re: optimizations,,,unknown,yes,1572623333
,// FIXME: process options,,,unknown,yes,1572623327
,// TODO: make it 16 now ? // MUST be power of 2!,,,unknown,yes,1572623325
,// TODO: This is where we would want to do precision checks to see // if it's non-destructive to coerce a given type into the target // integral primitive,,,unknown,yes,1572623296
,// TODO: FD_CLOEXEC is mysterious and we are not sure how constantine should include this. // We did it here for now,,,unknown,yes,1572623294
,// FIXME: what is correct 'recv' argument? // (this does produce the desired behavior),,,unknown,yes,1572623293
,"// TODO: Ruby logic is somewhat more complicated here, see comments after",,,unknown,yes,1572623291
,"// TODO: Ruby logic is somewhat more complicated here, see comments after",,,unknown,yes,1572623287
,// ignore; job was cancelled // FIXME: is this ok?,,,unknown,yes,1572623286
,// FIXME: Temporarily disabling because this fires way too much running Rails tests. JRUBY-518,,,unknown,yes,1572623283
,// FIXME: Temporarily disabling because this fires way too much running Rails tests. JRUBY-518,,,unknown,yes,1572623281
,// FIXME: Temporarily disabling because this fires way too much running Rails tests. JRUBY-518,,,unknown,yes,1572623280
,// FIXME: peek('u') utf8 stuff for 1.9,,,unknown,yes,1572623278
,// TODO assuming case is a fixnum,,,unknown,yes,1572623277
,// TODO: READ_CHECK from MRI,,,unknown,yes,1572623275
,// TODO: 1.9 rb_enc_symname_p,,,unknown,yes,1572623273
,// TODO: varargs?,,,unknown,yes,1572623271
,// TODO: rb_usascii_str_new2,,,unknown,yes,1572623268
,// TODO: varargs?,,,unknown,yes,1572623267
,// TODO: varargs?,,,unknown,yes,1572623265
,// TODO: varargs?,,,unknown,yes,1572623264
,// TODO: varargs?,,,unknown,yes,1572623262
,// TODO: why this: .setResult();,,,unknown,yes,1572623261
,// TODO: varargs?,,,unknown,yes,1572623259
,// TODO: varargs?,,,unknown,yes,1572623257
,// TODO: varargs?,,,unknown,yes,1572623256
,//FIXME warning,,,unknown,yes,1572623254
,// FIXME warning,,,unknown,yes,1572623253
,// FIXME: JRUBY-3604,,,unknown,yes,1572623251
,// FIXME: JRUBY-3604,,,unknown,yes,1572623250
,// SSS FIXME: Can this ever be null?,,,unknown,yes,1572623247
,// TODO: keep cr // TODO: rb_str_splice_0,,,unknown,yes,1572623245
