Document Title,Abstract,Year,PDF Link,label,code,time
,// $NON-NLS-1$ // so it agrees with above // TODO perhaps should share code with __time() function for this... // $NON-NLS-1$ $NON-NLS-2$ // $NON-NLS-1$ $NON-NLS-2$,,,unknown,yes,1572973186
,// Should we run a beanshell script on startup? // $NON-NLS-1$,,,unknown,yes,1572973182
,"/*         * This means that a new page will be shown before rendering is complete,         * however the correct location will be displayed.         * Attempts to use a ""page"" PropertyChangeListener to detect when the page         * has been loaded failed to work any better.          */",,,unknown,yes,1572973181
,// Hack to get full modifier value,,,unknown,yes,1572973168
,"// Should we return fragment as text, rather than text of fragment?",,,unknown,yes,1572973166
,"// Should we exit at end of the test? (only applies to server, because host is non-null)",,,unknown,yes,1572973165
,// Should we use java.naming.security.[principal|credentials] to create the QueueConnection?,,,unknown,yes,1572973164
,"// FIXME FACTOR WITH HTTPHC4Impl, HTTPHC3Impl // Just append all the parameter values, and use that as the post body",,,unknown,yes,1572973162
,// REMIND: convert arg list Vectors here?,,,unknown,yes,1572973161
,"// TODO is this correct? // If this is not the first file we can't write its header now // for simplicity we always save it, even if there is only one file",,,unknown,yes,1572973156
,"// This can't happen (how should utf8 not be supported!?!), // so just throw an Error:",,,unknown,yes,1572623140
,"// This can't happen (how should utf8 not be supported!?!), // so just throw an Error:",,,unknown,yes,1572623135
,"// TODO Charset ? // Get the first line, and see if it is XML",,,unknown,yes,1572623125
,// ++ // GUI tests throw the error // testArgumentCreation(org.apache.jmeter.config.gui.ArgumentsPanel$Test)java.lang.NoClassDefFoundError // at java.lang.Class.forName0(Native Method) // at java.lang.Class.forName(Class.java:141) // at // java.awt.GraphicsEnvironment.getLocalGraphicsEnvironment(GraphicsEnvironment.java:62) // // Try to find out why this is ...,,,unknown,yes,1572623111
,// should header be saved with the data? //$NON-NLS-1$,,,unknown,yes,1572623092
,// NOT USED,,,unknown,yes,1572623074
,// Programming error: // bail out.,,,unknown,yes,1572623055
,// Programming error: // bail out.,,,unknown,yes,1572623052
,// Programming error: // bail out.,,,unknown,yes,1572623050
,"/*     * See below for reason for this change. Just in case this causes problems,     * allow the change to be backed out     */",,,unknown,yes,1572623045
,// Needs to be run in a separate thread to allow RMI call to return OK,,,unknown,yes,1572623003
,// Needs to be volatile as may be referenced from multiple threads // TODO see if this can be made final somehow,,,unknown,yes,1572622983
,// TODO Charset ? // $NON-NLS-1$,,,unknown,yes,1572622965
