Document Title,Abstract,Year,PDF Link,label,code,time
,// can we pan this plot?,,,unknown,yes,1572622451
,// make sure that modifying the returned array doesn't change the // function,,,unknown,yes,1572622423
,// long result = calendar.getTimeInMillis(); // won't work with JDK 1.3,,,unknown,yes,1572622411
,// this doesn't work,,,unknown,yes,1572622401
,"// the commented out code would be better, but only if // RendererChangeEvent is immutable, which it isn't.  See if there is // a way to fix this...",,,unknown,yes,1572622381
,// need to work out the space used by the tick labels... // so we can update the cursor...,,,unknown,yes,1572622347
,// may be negative,,,unknown,yes,1572622322
,// TODO getSeriesShape(n).getBounds().width / 2;,,,unknown,yes,1572622298
,"// FIXME //SerialUtilities.writeImage(this.image, stream);",,,unknown,yes,1572622296
,// FIXME //this.image = SerialUtilities.readImage(stream);,,,unknown,yes,1572622294
,// TODO getSeriesShape(n).getBounds().height / 2;,,,unknown,yes,1572622292
,// now make a change to the renderer and see if it triggers a plot // change event...,,,unknown,yes,1572622290
,// now make a change to the renderer and see if it triggers a plot // change event...,,,unknown,yes,1572622288
,// images considered equal only if they're the SAME object // TODO: is there a way to do a better test?,,,unknown,yes,1572622282
,// FIXME: calculate xxLeft and xxRight,,,unknown,yes,1572622280
,// FIXME: calculate xx0,,,unknown,yes,1572622278
,// FIXME:,,,unknown,yes,1572622276
,// FIXME,,,unknown,yes,1572622274
,// not implemented,,,unknown,yes,1572622266
,"// here we could probably be a little faster by searching for both // indices simultaneously, but I'll look at that later if it seems // like it matters...",,,unknown,yes,1572622263
,"// FIXME: add setSeriesItemURLGenerator(int, CategoryURLGenerator, boolean)?",,,unknown,yes,1572622257
,"// not strictly necessary, since the // renderer set for the // parent plot is not used",,,unknown,yes,1572622255
,"// not strictly necessary, since the // renderer set for the // parent plot is not used",,,unknown,yes,1572622254
,// TODO: add serialization support for images,,,unknown,yes,1572622240
,// this may be negative,,,unknown,yes,1572622239
,// FIXME: draw outliers,,,unknown,yes,1572622236
,"// FIXME: add setBaseItemURLGenerator(CategoryURLGenerator, boolean) ?",,,unknown,yes,1572622235
,// FIXME: what if value is null on next line?,,,unknown,yes,1572622234
,"// unused but must return something, so while we are at it...",,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,// TODO:  this needs to move into the renderer state,,,unknown,yes,0
,//TODO: implement this method properly,,,unknown,yes,0
,// hack to ensure the newly created swt fonts will be rendered with the // same height as the awt one,,,unknown,yes,0
,// unused in parent,,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,// a redraw should NOT trigger another change event,,,unknown,yes,0
,// defer argument checking,,,unknown,yes,0
,// FIXME: perhaps we should clone the data list,,,unknown,yes,0
,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,,,unknown,yes,0
,// defer argument checking,,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,"// if we are rendering the values as percentages, we need to calculate // the total for the current item.  Unfortunately here we end up // repeating the calculation more times than is strictly necessary - // hopefully I'll come back to this and find a way to add the // total(s) to the renderer state.  The other problem is we implicitly // assume the dataset has no negative values...perhaps that can be // fixed too.",,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,// defer argument checking,,,unknown,yes,0
,// the method we want isn't in the CategoryItemRenderer // interface...,,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,,,unknown,yes,0
,"// TODO: by coding the event with some information about what changed // in the dataset, we could make the recalculation of the interval // more efficient in some cases (for instance, if the change is // just an update to a y-value, then the x-interval doesn't need // updating)...",,,unknown,yes,0
,// FIXME: this attribute is not used - deprecate?,,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,"// FIXME: the renderer interface doesn't have the drawDomainLine() // method, so we have to rely on the renderer being a subclass of // AbstractXYItemRenderer (which is lame)",,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,// a redraw should NOT trigger another change event,,,unknown,yes,0
,// CREATE ENTITIES // FIXME:  these methods should be defined,,,unknown,yes,0
,// a redraw should NOT trigger another change event,,,unknown,yes,0
,// defer argument checking,,,unknown,yes,0
,//FIXME we should really assert a value here,,,unknown,yes,0
,// defer argument checking,,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,// defer argument checking,,,unknown,yes,0
,// Note: It would be nice to pre-calculate this per series,,,unknown,yes,0
,"// we assume that all other Paint instances implement equals() and // hashCode()...of course that might not be true, but what can we // do about it?",,,unknown,yes,0
,// FIXME: use other fields too,,,unknown,yes,0
,// defer argument checking,,,unknown,yes,0
,// report this?,,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
,// defer argument checking...,,,unknown,yes,0
