Document Title,Abstract,Year,PDF Link,label,code,time
,//TBD return super classes of classes in this package that come from a delegate package.,,,unknown,yes,1573053136
,"// Only file-scheme URIs will be re-encoded. If a URI was decoded in the workaround // above, and Platform.resolve() didn't return a file-scheme URI, then this will return // an decoded URI. //",,,unknown,yes,1573053134
,"// If the delegate URI can be handled as a file,  // we'll hope that renaming it will be really efficient. //",,,unknown,yes,1573053125
,// We just can't do it. //,,,unknown,yes,1572973129
,// HACK: reading encoding,,,unknown,yes,1572973127
,// TODO handle situation when ASTJNode is removed (compilationUnit is null),,,unknown,yes,1572973126
,// TODO // Specialize this to return a resource locator for messages specific to this validator. // Ensure that you remove @generated or mark it @generated NOT,,,unknown,yes,1572973125
,//FB ????? ,,,unknown,yes,1572973124
,"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas.",,,unknown,yes,1572973122
,"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas.",,,unknown,yes,1572973120
,// The eAnnotations and eGenericType are possible containment references.  // We'll move them instead of copying //,,,unknown,yes,1572973110
,// Many inherited methods must be overridden to handle this case. //,,,unknown,yes,1572973096
,// Motif kludge: we would get something random instead of null. //,,,unknown,yes,1572973091
,// Normal (BMP) unicode code point. See if we know for a fact that the encoding supports it:,,,unknown,yes,1572363611
,// Normal (BMP) unicode code point. See if we know for a fact that the encoding supports it:,,,unknown,yes,1572363608
,// uri not found,,,unknown,yes,1572363592
,"// We can't undo it, so we'd better give up. //",,,unknown,yes,1572363589
,// clear old values,,,unknown,yes,1572363567
,//fall through...,,,unknown,yes,1572363562
,// This should never be called. //,,,unknown,yes,1572363550
,// VAJ kludge //,,,unknown,yes,1572363533
,// Changes to the parameters should also update the label. //,,,unknown,yes,1572363504
,// Just print an error message.,,,unknown,yes,1572363501
,// EATM Leave this disabled for now. //,,,unknown,yes,1572363463
,// There are attributes to handle.,,,unknown,yes,1572363454
,// Handle namespaces,,,unknown,yes,1572363451
,// There are attributes to handle.,,,unknown,yes,1572363449
,// There are attributes to handle.,,,unknown,yes,1572363447
,// EATM temporary for debug purposes only. //,,,unknown,yes,1572363443
,//TBD ,,,unknown,yes,1572363433
,//TBD ,,,unknown,yes,1572363430
,// delete variable fragment from old declaration,,,unknown,yes,1572363247
,// Do this first for better error message during setEParameterProperties. //,,,unknown,yes,1572363237
,//FB The following method is copied from com.ibm.etools.b2b.util.StringUtility //FB because the mapping framework cannot have a dependency on b2b. What we really //FB need to do is get methods like this moved to vabase so that everyone can //FB use them. // change all occurrences of oldPat to newPat,,,unknown,yes,1572363223
,// TODO,,,unknown,yes,1572363206
,// TODO,,,unknown,yes,1572363203
,// TODO translation,,,unknown,yes,0
,// TODO Update this after old tests pass and then update the old tests to reflect this change. //,,,unknown,yes,0
,//DMS this is totally untested.,,,unknown,yes,0
,"// TODO What about the instance type name and the fact that we should be matching its type argument structure? // If they match so far, we must assume they are okay and then check all the arguments. //",,,unknown,yes,0
,// TODO we should generate this.,,,unknown,yes,0
,"// we should be able to find the comma because the range for enum constants includes all preceding comments up to the previous constant // if TargetSourceRangeComputer of ASTRewrite changes, this logic should change to skip comments // see org.eclipse.emf.codegen.merge.java.facade.ast.CommentAwareSourceRangeComputer#getEnumConstantSourceRange(ASTNode)",,,unknown,yes,0
,// I don't know if this should be run this deferred // because we might have to give the editor a chance to process the viewer update events // and hence to update the views first. // //,,,unknown,yes,0
,"// This runs the options, and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //",,,unknown,yes,0
,// I don't know if this should be run this deferred // because we might have to give the editor a chance to process the viewer update events // and hence to update the views first. // //,,,unknown,yes,0
,// TODO Binary incompatibility; an old override must override putAll.,,,unknown,yes,0
,"// if current char is comma, insert line break after it // // we should be able to find the comma because the range for enum constants includes all trailing comments up to the separator // if TargetSourceRangeComputer of ASTRewrite changes, this logic should change to skip comments // see org.eclipse.emf.codegen.merge.java.facade.ast.CommentAwareSourceRangeComputer#getEnumConstantSourceRange(ASTNode)",,,unknown,yes,0
,// TODO Ignore for now.,,,unknown,yes,0
,// TODO comments are not sent to recordValues,,,unknown,yes,0
,// TODO processing instructions are not sent to recordValues,,,unknown,yes,0
,// I don't know if this should be run this deferred // because we might have to give the editor a chance to process the viewer update events // and hence to update the views first. // //,,,unknown,yes,0
,//FB TBD filter out volatile and other inappropriate links?,,,unknown,yes,0
,//DMS this doesn't really produce nice output. //,,,unknown,yes,0
,//DMS factor this into a method? Use a non-static subclass? ,,,unknown,yes,0
,//DMS should we let this exception out?,,,unknown,yes,0
,//DMS should we let this exception out?,,,unknown,yes,0
,"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration    ",,,unknown,yes,0
,"// TODO deprecate (since no longer used by getEditPluginClass(), getEditorPluginClass(), getTestSuiteClass()) //",,,unknown,yes,0
,"// Note that the way they are sorted, the values of index[i++] always increase, // so the objects are added from right to left in the list. // // EATM  TODO // // We could make this more efficient by grouping the adds when indices increment by one, // so that a single grouped notification would result. //",,,unknown,yes,0
,// Per Schema 1.0 it is not clear if the result returned should be a valid URI.  // For the future if we plant to support IRIs then it is better not to massage // the initialValue.  // We should thought consider where would be the best way to validate anyURI values -- EL,,,unknown,yes,0
,"// Bubble sort // Why? -- In many cases, //         this.ranges has few elements.",,,unknown,yes,0
