Document Title,Abstract,Year,PDF Link,label,code,time
,// Hack to deal with Ingres IIE* meta tables.,,,unknown,yes,1572624019
,// BAD - Converting a URL to a file this way is problematic when the file path contains spaces,,,unknown,yes,1572624017
,"// TODO: Need to add storageOptions to the add index dialog // valuesMap.put(ST_STORAGE_OPTION_KEY, );",,,unknown,yes,1572624015
,//?? Future: may want to create TablePopupMenu to allow cut/copy/paste operations,,,unknown,yes,1572624014
,"// We are displaying a new dataset, so if there was // a cell editor in operation, tell it to cancel. //???? How does this impact popup display?",,,unknown,yes,1572624013
,// TODO: i18n,,,unknown,yes,1572624008
,// TODO I18N,,,unknown,yes,1572624007
,//??GETRIDOFTHIS,,,unknown,yes,1572624005
,// This could (perhaps more elegantly) be done by recursion,,,unknown,yes,1572624001
,"// Move any i18n files that are located in the core downloads dir to the i18n downloads dir. The spring // application context will not load properly (for some unknown reason) when there are i18n jars in the // classpath. So as a work-around, we simply ensure that they are where they should be anyway. // Previously we were not as careful about this, so it is possible that i18n jars were copied into the // core downloads directory.",,,unknown,yes,1572623998
,"// The following is only useable for a root type of InternalFrame. If the // root type is Dialog or Frame, then other code must be used.",,,unknown,yes,1572623914
,"// PostgreSQL follows the standard for SQL BIT. It's a string of BITs. // So bit(10) is a string of 10 bits. JDBC treats SQL BIT as if it // were only a single BIT. It specifies that BIT is equivalent to // BOOLEAN. It claims that the PreparedStatement set method that should // be used with BIT is setBoolean and getBoolean. This is not compliant // with the standard. So SQL BIT type support is broken in Java, there // is nothing we can do about that. // Best thing to do for now, is try to convert the BIT type to a // boolean like the JDBC spec says and hope for the best. Hope that the // source database isn't using the BIT column as a sequence of multiple // BITs.",,,unknown,yes,1572623906
,// TODO: tell the user that the selected destination schema is  // the same as the source schema. //monitor.showMessageDialog(...)            ,,,unknown,yes,1572623891
,// MySQL requires MyISAM storage engine for spatial and fulltext indexes.  Don't test them  // for now.  See the TODO in the MySQLDialect for getCreateIndexSQL.,,,unknown,yes,1572623873
,// TODO move to new standard location and rewrite test to be less static,,,unknown,yes,1572623866
,//TODO:			setFont(style.createStyledFont(getFont()));,,,unknown,yes,1572623863
,"// TODO: columns, tables",,,unknown,yes,1572623861
,// TODO,,,unknown,yes,1572623859
,// TODO,,,unknown,yes,1572623857
,// TODO,,,unknown,yes,1572623855
,// TODO,,,unknown,yes,1572623854
,// TODO,,,unknown,yes,1572623852
,// TODO,,,unknown,yes,1572623851
,// TODO,,,unknown,yes,1572623849
,// TODO,,,unknown,yes,1572623847
,// TODO,,,unknown,yes,1572623845
,// TODO,,,unknown,yes,1572623844
,// TODO,,,unknown,yes,1572623842
,// TODO,,,unknown,yes,1572623841
,// TODO,,,unknown,yes,1572623839
,// TODO,,,unknown,yes,1572623838
,// TODO,,,unknown,yes,1572623836
,// TODO,,,unknown,yes,1572623835
,// TODO,,,unknown,yes,1572623833
,// TODO,,,unknown,yes,1572623831
,"/*     *     *     * Implement IDataSetUpdateableModel interface     * and IDataSetUpdateableTableModel interface     *     * TODO: THIS CODE WAS COPIED FROM ContentsTab.  IT SHOULD PROBABLY     * BE PUT INTO A COMMON LOCATION AND SHARED BY BOTH THIS     * CLASS AND ContentsTab.     *     *     */",,,unknown,yes,0
,// TODO: How to let the user customize this??,,,unknown,yes,0
,"/*		 * CSE: moved this code down here to fix repaint problems on first		 * display - bounds should be set before install		 *		 * Uninstall the old popup from root pane		 * and install the new one. Even in case		 * they are the same objects it's necessary		 * to cover the workspace switches etc.		 */",,,unknown,yes,0
,//TODO: RENAME to DataSetViewerPropertyDestination,,,unknown,yes,0
,"// Discovered that the loginame field can be null - in that case, how to know we have the correct view?",,,unknown,yes,0
