ID,projectname,classification,Abstract,label,easy_code
549,httpd,UNKNOWN,/* @@@ FIXME: should we deal with STOP signals as well? */,undetermined,yes
607,httpd,UNKNOWN,/* Dirty hack to bring the window to the foreground */,undetermined,yes
611,httpd,UNKNOWN,/* Dirty hack to bring the window to the foreground */,undetermined,yes
648,httpd,UNKNOWN,"/*
 * TODO: Move this to an appropriate include file and possibly prefix it
 * with AP_.
 */",undetermined,yes
663,httpd,UNKNOWN,"/* FIXME: memory leak, albeit a small one */",undetermined,yes
665,httpd,UNKNOWN,"/*  FIXME: is this the right place to call this?
     *  It doesn't appear to be
     */",undetermined,yes
724,httpd,UNKNOWN,/* TODO: this crap belongs in http_core */,undetermined,yes
836,httpd,UNKNOWN,/* TODO: ap_configtestonly */,undetermined,yes
842,httpd,UNKNOWN,"/* hack. Prefix a "" if it is a msg; as that is what
             * http_protocol.c relies on to distinguish between
             * a msg and a (local) path.
             */",undetermined,yes
880,httpd,UNKNOWN,"/* FIXME: There's another feature waiting to happen here -- since you
        can now put multiple addresses/names on a single <VirtualHost>
        you might want to use it to group common definitions and then
        define other ""subhosts"" with their individual differences.  But
        personally I'd rather just do it with a macro preprocessor. -djg */",undetermined,yes
914,httpd,UNKNOWN,"/* TODO: RlimitFoo should all be part of mod_cgi, not in the core */",undetermined,yes
915,httpd,UNKNOWN,/* TODO: ListenBacklog in MPM */,undetermined,yes
952,httpd,UNKNOWN,/* FIXME: I suspect we can eliminate the need for these do_nothings - Ben */,undetermined,yes
978,httpd,UNKNOWN,/* FIXME: Is this the right thing to do in the core? */,undetermined,yes
1030,httpd,UNKNOWN,/* TODO: make_sock is just begging and screaming for APR abstraction */,undetermined,yes
1062,httpd,UNKNOWN,"/* TODO: set protocol defaults per-Port, eg 25=smtp */",undetermined,yes
1171,httpd,UNKNOWN,"/* This is a hack until we finish the code so that it only reads
         * the config file once and just operates on the tree already in
         * memory.  rbb
         */",undetermined,yes
1175,httpd,UNKNOWN,"/* This ugly little hack pulls any function referenced in exports.c into
 * the web server.  exports.c is generated during the build, and it
 * has all of the APR functions specified by the apr/apr.exports and
 * apr-util/aprutil.exports files.
 */",undetermined,yes
1289,httpd,UNKNOWN,"/* Found one, so call ourselves again to get the next line.
             *
             * FIXME: If the folding line is completely blank, should we
             * stop folding?  Does that require also looking at the next
             * char?
             */",undetermined,yes
1386,httpd,UNKNOWN,"/* ### TODO: if the total output is large, put all the strings
     * ### into a single brigade, rather than flushing each time we
     * ### fill the buffer
     */",undetermined,yes
1477,httpd,UNKNOWN,"/* TODO: provide users an option that an internal/external
                 * redirect is required here?  We need to walk the URI and
                 * filename in tandem to properly correlate these.
                 */",undetermined,yes
1562,httpd,UNKNOWN,"/*
 * ToDo:
 * This function should be renamed to cleanup_shared
 * and it should handle cleaning up a scoreboard shared
 * between processes using any form of IPC (file, shared memory
 * segment, etc.). Leave it as is now because it is being used
 * by various MPMs.
 */",undetermined,yes
1567,httpd,UNKNOWN,"/* ToDo: This function should be made to handle setting up
 * a scoreboard shared between processes using any IPC technique,
 * not just a shared memory segment
 */",undetermined,yes
2245,httpd,UNKNOWN,"/* TODO. We should be able to replace this entire function body
	 * with
	 *		ap_expr_yypop_buffer_state();
	 *		ap_expr_yypush_buffer_state(new_buffer);
     */",undetermined,yes
2380,httpd,UNKNOWN,/* TODO: support perl's after/before */,undetermined,yes
2381,httpd,UNKNOWN,/* FIXME: fix these simplminded delims */,undetermined,yes
2385,httpd,UNKNOWN,"/* If it's a substitution, we need the replacement string
     * TODO: possible future enhancement - support other parsing
     * in the replacement string.
     */",undetermined,yes
2394,httpd,UNKNOWN,/* FIXME - should we do more to handle error? */,undetermined,yes
2669,httpd,UNKNOWN,"/* TODO: Switch to a system where threads reuse the results from earlier
       poll calls - manoj */",undetermined,yes
2670,httpd,UNKNOWN,/* TODO: requests_this_child should be synchronized - aaron */,undetermined,yes
2850,httpd,UNKNOWN,"/* Get the local & remote address
             * TODO; error check
             */",undetermined,yes
3009,httpd,UNKNOWN,"/* Initialize shared static objects.
     * TODO: Put config related statics into an sconf structure.
     */",undetermined,yes
3067,httpd,UNKNOWN,/* Todo; clear up statics */,undetermined,yes
3401,httpd,UNKNOWN,"/*
 Todo list
 - Enforce MaxRequestWorkers somehow
*/",undetermined,yes
3719,httpd,UNKNOWN,"/*
     * TODO: The atomics expect unsigned whereas we're using signed.
     *       Need to double check that they work as expected or else
     *       rework how we determine blocked.
     */",undetermined,yes
3723,httpd,UNKNOWN,/* See TODO in ap_queue_info_set_idle() */,undetermined,yes
3725,httpd,UNKNOWN,/* See TODO in ap_queue_info_set_idle() */,undetermined,yes
4076,httpd,UNKNOWN,"/*
     * TODO: determine somewhere we can safely shove out diagnostics
     *       (when enabled) at this late stage in the game:
     * CRYPTO_mem_leaks_fp(stderr);
     */",undetermined,yes
4210,httpd,UNKNOWN,"/*
     * XXX: wonder if this is still needed, this is old todo doc.
     * (see http://www.psy.uq.edu.au/~ftp/Crypto/ssleay/TODO.html)
     */",undetermined,yes
4242,httpd,UNKNOWN,"/* ``MY HACK: This universe.
                                  Just one little problem:
                                  core keeps dumping.''
                                            -- Unknown    */",undetermined,yes
4348,httpd,UNKNOWN,"/* Protected from truncation, readbytes < MAX_SIZE_T
         * FIXME: No, it's *not* protected.  -- jre */",undetermined,yes
4449,httpd,UNKNOWN,"/*
         * Now we force the SSL renegotiation by sending the Hello Request
         * message to the client. Here we have to do a workaround: Actually
         * OpenSSL returns immediately after sending the Hello Request (the
         * intent AFAIK is because the SSL/TLS protocol says it's not a must
         * that the client replies to a Hello Request). But because we insist
         * on a reply (anything else is an error for us) we have to go to the
         * ACCEPT state manually. Using SSL_set_accept_state() doesn't work
         * here because it resets too much of the connection.  So we set the
         * state explicitly and continue the handshake manually.
         */",undetermined,yes
4486,httpd,UNKNOWN,/* XXX Uses 256-bit key for now. TODO: support other sizes. */,undetermined,yes
4518,httpd,UNKNOWN,"/* TODO: Do we need a temp pool here, or are we always shutting down? */",undetermined,yes
4570,httpd,UNKNOWN,/* TODO: allow flags configuration. */,undetermined,yes
4878,httpd,UNKNOWN,"/**
 *  Maximum length of a DER encoded session.
 *  FIXME: There is no define in OpenSSL, but OpenSSL uses 1024*10,
 *         so this value should be ok. Although we have no warm feeling.
 */",undetermined,yes
4892,httpd,UNKNOWN,/* TODO: potential optimization; _timeout members as apr_interval_time_t */,undetermined,yes
4963,httpd,UNKNOWN,"/*
         * TODO: Error check the below... What error makes
         * sense if the restore fails? Any?
         */",undetermined,yes
5127,httpd,UNKNOWN,"/**
 * Clean out expired sessions.
 *
 * TODO: We need to figure out a way to clean out expired sessions from the database.
 * The monitor hook doesn't help us that much, as we have no handle into the
 * server, and so we need to come up with a way to do this safely.
 */",undetermined,yes
5138,httpd,UNKNOWN,/* TODO handle housekeeping */,undetermined,yes
5449,httpd,UNKNOWN,/* TODO: Add the rest of dynamic worker data */,undetermined,yes
5451,httpd,UNKNOWN,/* TODO */,undetermined,yes
5508,httpd,UNKNOWN,"/* FIXME
 * ProxyPassReverse and friends are documented as working inside
 * <Location>.  But in fact they never have done in the case of
 * more than one <Location>, because the server_conf can't see it.
 * We need to move them to the per-dir config.
 * Discussed in February 2005:
 * http://marc.theaimsgroup.com/?l=apache-httpd-dev&m=110726027118798&w=2
 */",undetermined,yes
5719,httpd,UNKNOWN,/* TODO: offset of BALANCER_PREFIX ?? */,undetermined,yes
5748,httpd,UNKNOWN,/* TODO: Implement as provider! */,undetermined,yes
5779,httpd,UNKNOWN,"/* Manages the loadfactors and member status
 *   The balancer, worker and nonce are obtained from
 *   the request args (?b=...&w=...&nonce=....).
 *   All other params are pulled from any POST
 *   data that exists.
 * TODO:
 *   /.../<whatever>/balancer/worker/nonce
 */",undetermined,yes
5805,httpd,UNKNOWN,"/*
 * This handles Netscape CONNECT method secure proxy requests.
 * A connection is opened to the specified host and data is
 * passed through between the WWW site and the browser.
 *
 * This code is based on the INTERNET-DRAFT document
 * ""Tunneling SSL Through a WWW Proxy"" currently at
 * http://www.mcom.com/newsref/std/tunneling_ssl.html.
 *
 * If proxyhost and proxyport are set, we send a CONNECT to
 * the specified proxy..
 *
 * FIXME: this doesn't log the number of bytes sent, but
 *        that may be okay, since the data is supposed to
 *        be transparent. In fact, this doesn't log at all
 *        yet. 8^)
 * FIXME: doesn't check any headers initally sent from the
 *        client.
 * FIXME: should allow authentication, but hopefully the
 *        generic proxy authentication is good enough.
 * FIXME: no check for r->assbackwards, whatever that is.
 */",undetermined,yes
5818,httpd,UNKNOWN,"/*
     * At this point we have a list of one or more IP addresses of
     * the machine to connect to. If configured, reorder this
     * list so that the ""best candidate"" is first try. ""best
     * candidate"" could mean the least loaded server, the fastest
     * responding server, whatever.
     *
     * For now we do nothing, ie we get DNS round robin.
     * XXX FIXME
     */",undetermined,yes
5826,httpd,UNKNOWN,"/* FIXME: Error checking ignored.
     */",undetermined,yes
5878,httpd,UNKNOWN,/* TODO: Should probably clean up this logging a bit... */,undetermined,yes
5899,httpd,UNKNOWN,/* TODO: In APR 2.x: Extend apr_sockaddr_t to possibly be a path !!! */,undetermined,yes
5945,httpd,UNKNOWN,"/* basedir is either """", or ""/%2f"" for the ""squid %2f hack"" */",undetermined,yes
5956,httpd,UNKNOWN,/* Add a link to the root directory (if %2f hack was used) */,undetermined,yes
6030,httpd,UNKNOWN,/* TODO: see if ftp could use determine_connection */,undetermined,yes
6099,httpd,UNKNOWN,/* FIXME: Check PASV against RFC1123 */,undetermined,yes
6102,httpd,UNKNOWN,/* FIXME: Only supports IPV4 - fix in RFC2428 */,undetermined,yes
6109,httpd,UNKNOWN,/* FIXME: Sent PORT here */,undetermined,yes
6118,httpd,UNKNOWN,"/* IPV6 FIXME:
 * The EPRT command replaces PORT where both IPV4 and IPV6 is supported. The first
 * number (1,2) indicates the protocol type. Examples:
 *   EPRT |1|132.235.1.2|6275|
 *   EPRT |2|1080::8:800:200C:417A|5282|
 */",undetermined,yes
6146,httpd,UNKNOWN,/* FIXME: Handle range requests - send REST */,undetermined,yes
6178,httpd,UNKNOWN,"/* If an encoding has been set by mistake, delete it.
     * @@@ FIXME (e.g., for ftp://user@host/file*.tar.gz,
     * @@@        the encoding is currently set to x-gzip)
     */",undetermined,yes
6319,httpd,UNKNOWN,"/* FIXME: refine this to be able to specify per-response-status
             * policies and maybe also add option to bail out with 502
             */",undetermined,yes
6322,httpd,UNKNOWN,"/*@@@FIXME:
                 * At this point in response processing of a 0.9 response,
                 * we don't know yet whether data is binary or not.
                 * mod_charset_lite will get control later on, so it cannot
                 * decide on the conversion of this buffer full of data.
                 * However, chances are that we are not really talking to an
                 * HTTP/0.9 server, but to some different protocol, therefore
                 * the best guess IMHO is to always treat the buffer as ""text/x"":
                 */",undetermined,yes
6504,httpd,UNKNOWN,/* FIXME: This needs to be able to deal with IPv6 */,undetermined,yes
6525,httpd,UNKNOWN,/* XXX FIXME: conf->noproxies->elts is part of an opaque structure */,undetermined,yes
6528,httpd,UNKNOWN,"/*
     * XXX FIXME: Make sure this handled the ambiguous case of the :<PORT>
     * after the hostname
     * XXX FIXME: Ensure the /uri component is a case sensitive match
     */",undetermined,yes
6589,httpd,UNKNOWN,/* TODO: recycle direct worker */,undetermined,yes
6601,httpd,UNKNOWN,"/*
     * Figure out if our passed in proxy_conn_rec has a usable
     * address cached.
     *
     * TODO: Handle this much better... 
     *
     * XXX: If generic workers are ever address-reusable, we need 
     *      to check host and port on the conn and be careful about
     *      spilling the cached addr from the worker.
     */",undetermined,yes
6639,httpd,UNKNOWN,/* TODO: See if this will break FTP */,undetermined,yes
