ID,projectname,classification,Abstract,label,easy_code
1449,argouml,WITHOUT_CLASSIFICATION,/* Owner related todo items: */,no,yes
1451,argouml,WITHOUT_CLASSIFICATION,/* Fig related todo items: */,no,yes
1463,argouml,WITHOUT_CLASSIFICATION,// TODO: Update setting,no,yes
1488,argouml,WITHOUT_CLASSIFICATION,"/**     * Private utility routine to work out the (positive) x coordinate of a     * point on an oval, given the radii and y coordinate.<p>     * TODO: Use this to calculate the separator lines!     *     * @param a  radius in X direction     * @param b  radius in Y direction     * @param y  Y coordinate     * @return   Positive X coordinate for the given Y coordinate     */",no,yes
1501,argouml,WITHOUT_CLASSIFICATION,//TODO: Does this help?,no,yes
1513,argouml,WITHOUT_CLASSIFICATION,// TODO: assumes public,no,yes
1522,argouml,WITHOUT_CLASSIFICATION,//TODO: AssociationRole,no,yes
1532,argouml,WITHOUT_CLASSIFICATION,// TODO -> settings,no,yes
1568,argouml,WITHOUT_CLASSIFICATION,"// TODO: Use per-project undo manager, not global",no,yes
1572,argouml,WITHOUT_CLASSIFICATION,// TODO: We should be able to just call renderingChanged on the child // figs here instead of doing an updateOperations...,no,yes
1639,argouml,WITHOUT_CLASSIFICATION,// TODO: This is using the default platform character encoding // specifying an encoding will produce more predictable results,no,yes
1663,argouml,WITHOUT_CLASSIFICATION,// TODO: the last argument (recursive flag) should be a // selectable option,no,yes
1665,argouml,WITHOUT_CLASSIFICATION,"// skip backup files. This is actually a workaround for the // cpp generator, which always creates backup files (it's a // bug).",no,yes
1666,argouml,WITHOUT_CLASSIFICATION,"// TODO: The following is carried over from setOwner, but probably // isn't needed //        renderingChanged(); // It does the following (add as needed): //        updateNameText(); //        updateStereotypeText(); //        updateStereotypeIcon(); //        updateBounds(); //        damage();",no,yes
1667,argouml,WITHOUT_CLASSIFICATION,// TODO: This is using the default platform character // encoding.  Specifying an encoding will produce more // predictable results,no,yes
1669,argouml,WITHOUT_CLASSIFICATION,// TODO: Get saved default directory // outputDirectoryComboBox.getModel().setSelectedItem(savedDir);,no,yes
1682,argouml,WITHOUT_CLASSIFICATION,// TODO: Changed from UML 1.4,no,yes
1694,argouml,WITHOUT_CLASSIFICATION,"// TODO: Use per-project undo manager, not global",no,yes
1696,argouml,WITHOUT_CLASSIFICATION,// TODO: Should be improved so that it's recognized whether there is something selected that can actually be generated // Nothing selected in the diagram,no,yes
