,projectname,classification,Abstract,code
35,apache-jmeter-2.10,DESIGN,"// TODO - charset? // TODO this should really be request data, but there is none",yes
36,apache-jmeter-2.10,DESIGN,// in milli-seconds // TODO: properties?,yes
37,apache-jmeter-2.10,DESIGN,//TODO - move to JOrphanUtils?,yes
38,apache-jmeter-2.10,DESIGN,// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class,yes
39,apache-jmeter-2.10,DESIGN,// Can be null (not sure why),yes
40,apache-jmeter-2.10,DESIGN,//TODO implement other non-text types,yes
41,apache-jmeter-2.10,DESIGN,// TODO this is not populated currently,yes
42,apache-jmeter-2.10,DESIGN,// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class // TODO - remove UnsharedComponent ? Probably does not make sense for a TestBean.,yes
43,apache-jmeter-2.10,DESIGN,// $NON-NLS-1$ // TODO - use a different format here?,yes
44,apache-jmeter-2.10,DESIGN,// NOTUSED: long[] longSample = getSamples(); // load each node,yes
45,apache-jmeter-2.10,DESIGN,"//This can lead to code smell, meh! Do we care",yes
46,apache-jmeter-2.10,DESIGN,// TODO is this ever used?,yes
47,apache-jmeter-2.10,DESIGN,// TODO is this the best way to do this?,yes
48,apache-jmeter-2.10,DESIGN,// Programming error: bail out.,yes
49,apache-jmeter-2.10,DESIGN,// Maybe move to vector if MT problems occur,yes
50,apache-jmeter-2.10,DESIGN,// All keys in messages.properties are lowercase (historical reasons?),yes
51,apache-jmeter-2.10,DESIGN,//NOT USED protected double[][] data = null;,yes
52,apache-jmeter-2.10,DESIGN,// Programming error: bail out.,yes
53,apache-jmeter-2.10,DESIGN,// Programming error: bail out.,yes
54,apache-jmeter-2.10,DESIGN,//TODO do this more efficiently,yes
55,apache-jmeter-2.10,DESIGN,// TODO - should this use setFirst() ?,yes
56,apache-jmeter-2.10,DESIGN,// Programming error: bail out.,yes
57,apache-jmeter-2.10,DESIGN,"/*     *     * A Dom tree panel for to display response as tree view author <a     * href=""mailto:d.maung@mdl.com"">Dave Maung</a>      * TODO implement to find any nodes in the tree using TreePath.     *     */",yes
58,apache-jmeter-2.10,DESIGN,// TODO: Does this method need to be public? It isn't currently // called outside of this class.,yes
59,apache-jmeter-2.10,DESIGN,"/*         * Does the system support UNC paths? If so, may need to fix them up         * later         */",yes
60,apache-jmeter-2.10,DESIGN,// Not used,yes
61,apache-jmeter-2.10,DESIGN,// TODO should this be indeterminate? // TODO should this be indeterminate? //$NON-NLS-1$ //$NON-NLS-1$,yes
62,apache-jmeter-2.10,DESIGN,// hack to skip processing,yes
63,apache-jmeter-2.10,DESIGN,// TODO should we allow null for non-primitive types?,yes
64,apache-jmeter-2.10,DESIGN,// TODO - not sure this is the best method,yes
65,apache-jmeter-2.10,DESIGN,// TODO - is this needed?,yes
66,apache-jmeter-2.10,DESIGN,// TODO - should we call start() and stop()?,yes
67,apache-jmeter-2.10,DESIGN,// Not used,yes
68,apache-jmeter-2.10,DESIGN,"// TODO: I believe the following code (to the end of the method) is // obsolete, // since NamePanel no longer seems to be the GUI for any component:",yes
69,apache-jmeter-2.10,DESIGN,// Method is broken anyway,yes
70,apache-jmeter-2.10,DESIGN,// TODO is this a sensible number? //$NON-NLS-1$,yes
71,apache-jmeter-2.10,DESIGN,// TODO work out how to search the XML pane,yes
72,apache-jmeter-2.10,DESIGN,// TODO is this sensible?,yes
73,apache-jmeter-2.10,DESIGN,"// Should we return fragment as text, rather than text of fragment?",yes
74,apache-jmeter-2.10,DESIGN,"/*         * Not clear what can cause this ? conflicting versions perhaps         */",yes
75,apache-jmeter-2.10,DESIGN,//TODO replace with proper Exception // return with an error,yes
76,apache-jmeter-2.10,DESIGN,//TODO: validate contentType for reasonable types?,yes
77,apache-jmeter-2.10,DESIGN,"/*     * Mask values for TEST_TYPE TODO: remove either MATCH or CONTAINS - they     * are mutually exckusive     */",yes
78,apache-jmeter-2.10,DESIGN,// TODO ought to be a FileChooser ...,yes
79,apache-jmeter-2.10,DESIGN,// Allow JMeter to render frames (and relative images) // Must be done after setContentType [Why?],yes
80,apache-jmeter-2.10,DESIGN,// TODO - is this used? (apart from test code),yes
81,apache-jmeter-2.10,DESIGN,// TODO: should this be clearData()?,yes
82,apache-jmeter-2.10,DESIGN,"/**     * Provide a description of this timer class.     *     * TODO: Is this ever used? I can't remember where. Remove if it isn't --     * TODO: or obtain text from bean's displayName or shortDescription.     *     * @return the description of this timer class.     */",yes
83,apache-jmeter-2.10,DESIGN,"/*             * Provide dummy implementations to suppress download and display of             * related resources: - FRAMEs - IMAGEs TODO create better dummy             * displays TODO suppress LINK somehow             */",yes
84,apache-jmeter-2.10,DESIGN,// TODO should this be JTLSAVER? Only seems to be called by MonitorHealthVisualzer,yes
85,apache-jmeter-2.10,DESIGN,// TODO: Make the running indicator its own class instead of a JButton,yes
86,apache-jmeter-2.10,DESIGN,"// If child of TransactionController is a ThroughputController and TPC does // not sample its children, then we will have this // TODO Should this be at warn level ?",yes
87,apache-jmeter-2.10,DESIGN,// $NON-NLS-1$ // so it agrees with above // TODO perhaps should share code with __time() function for this... // $NON-NLS-1$ $NON-NLS-2$ // $NON-NLS-1$ $NON-NLS-2$,yes
88,apache-jmeter-2.10,DESIGN,// Hack to allow automated tests to find when test has ended //transient boolean testEnded = false;,yes
89,apache-jmeter-2.10,DESIGN,// TODO could these be done earlier (or just once?),yes
90,apache-jmeter-2.10,DESIGN,// Hack to resolve ModuleControllers in non GUI mode,yes
91,apache-jmeter-2.10,DESIGN,// add a system property so samplers can check to see if JMeter // is running in NonGui mode // $NON-NLS-1$ // TODO - why does it create a new instance?,yes
92,apache-jmeter-2.10,DESIGN,// Should we run a beanshell script on startup? // $NON-NLS-1$,yes
93,apache-jmeter-2.10,DESIGN,"/*         * A little hack - add each listener to the start of the list - this         * ensures that the thread running the show is the first listener and         * can modify certain values before other listeners are called.         */",yes
94,apache-jmeter-2.10,DESIGN,// TODO: move this to components -- the only reason why it's in core is because // it's used as a guinea pig by a couple of tests.,yes
95,apache-jmeter-2.10,DESIGN,"// TODO this bit of code needs to be tidied up // Unfortunately ModuleController is in components, not core // Bug 47165",yes
96,apache-jmeter-2.10,DESIGN,// TODO: This class looks a lot like ArgumentsPanel. What exactly is the // difference? Could they be combined? // Note: it seems that this class is not actually used ...,yes
97,apache-jmeter-2.10,DESIGN,// TODO does not appear to be used,yes
98,apache-jmeter-2.10,DESIGN,"/*         * Ensure that the sample variables are correctly initialised for each run.         * TODO is this the best way to do this? should it be done elsewhere ?         */",yes
99,apache-jmeter-2.10,DESIGN,"/*             * Add fix for Deadlocks, see:             *              * See https://issues.apache.org/bugzilla/show_bug.cgi?id=48350            */",yes
100,apache-jmeter-2.10,DESIGN,// Hack to allow external control,yes
101,apache-jmeter-2.10,DESIGN,// TODO - why use space?,yes
102,apache-jmeter-2.10,DESIGN,"// TODO should this also clear isDynamic, rawParameters, permanentResults?",yes
103,apache-jmeter-2.10,DESIGN,// TODO should level be more than debug ?,yes
104,apache-jmeter-2.10,DESIGN,// TODO should level be more than debug ?,yes
105,apache-jmeter-2.10,DESIGN,"// This is effectively the same as saver.toXML(Object, Writer) except we get to provide the DataHolder // Don't know why there is no method for this in the XStream class",yes
106,apache-jmeter-2.10,DESIGN,// TODO fix up for Nimbus LAF,yes
107,apache-jmeter-2.10,DESIGN,"/** * FIXME Why is searchTF not getting focus correctly after having been setVisible(false) once */",yes
108,apache-jmeter-2.10,DESIGN,// TODO does not appear to be used,yes
109,apache-jmeter-2.10,DESIGN,// MenuBar related methods // TODO: Do we really need to have all these menubar methods duplicated // here? Perhaps we can make the menu bar accessible through GuiPackage?,yes
110,apache-jmeter-2.10,DESIGN,// Hack to get full modifier value,yes
111,apache-jmeter-2.10,DESIGN,// TODO: This method doesn't appear to be used.,yes
112,apache-jmeter-2.10,DESIGN,// TODO - why use space?,yes
113,apache-jmeter-2.10,DESIGN,"/*     * TODO consider removing this method, and providing method wrappers instead.     * This would allow the Gui package to do any additional clearups if required,     * as has been done with clearTestPlan()    */",yes
114,apache-jmeter-2.10,DESIGN,//Maybe do nothing at all?,yes
115,apache-jmeter-2.10,DESIGN,"/*     * NOTUSED private void initButtonMap() { }     */",yes
116,apache-jmeter-2.10,DESIGN,"// TODO: I believe the following code (to the end of the method) is // obsolete, // since NamePanel no longer seems to be the GUI for any component:",yes
117,apache-jmeter-2.10,DESIGN,//avoid error in ant task tests (good way?),yes
118,apache-jmeter-2.10,DESIGN,// Does not appear to be used; called by MainFrame#setEditAddMenu() but that is not called,yes
119,apache-jmeter-2.10,DESIGN,"/** * Aggregates sample results for use by the Statistical remote batch mode. * Samples are aggregated by the key defined by getKey(). * TODO: merge error count into parent class? */",yes
120,apache-jmeter-2.10,DESIGN,// TODO should errors be thrown back through RMI?,yes
121,apache-jmeter-2.10,DESIGN,"/*                 * JMeterTreeNode and TestBeanGUI are special GUI classes, and                 * aren't intended to be added to menus                 *                 * TODO: find a better way of checking this                 */",yes
122,apache-jmeter-2.10,DESIGN,// not used,yes
123,apache-jmeter-2.10,DESIGN,// not used,yes
124,apache-jmeter-2.10,DESIGN,// not used,yes
125,apache-jmeter-2.10,DESIGN,// not used,yes
126,apache-jmeter-2.10,DESIGN,// TODO - perhaps save other items such as headers?,yes
127,apache-jmeter-2.10,DESIGN,// TODO should class implement SampleListener?,yes
128,apache-jmeter-2.10,DESIGN,// Settings; readResolve sets these from the server/client values as appropriate // TODO would be nice to make these final; not 100% sure volatile is needed as not changed after creation,yes
129,apache-jmeter-2.10,DESIGN,// should the samples be aggregated on thread name or thread group (default) ?,yes
130,apache-jmeter-2.10,DESIGN,// Make it easier to enter a tab (can use \<tab> but that is awkward),yes
131,apache-jmeter-2.10,DESIGN,// not used,yes
132,apache-jmeter-2.10,DESIGN,// TODO turn into method?,yes
133,apache-jmeter-2.10,DESIGN,// Does not appear to be used (yet),yes
134,apache-jmeter-2.10,DESIGN,"//@GuardedBy(""sampleStore"") TODO perhaps use ConcurrentHashMap ?",yes
135,apache-jmeter-2.10,DESIGN,// should the samples be aggregated on thread name or thread group (default) ?,yes
136,apache-jmeter-2.10,DESIGN,//TODO clazz is probably always the same as testclass,yes
137,apache-jmeter-2.10,DESIGN,// TODO - should this be restored?,yes
138,apache-jmeter-2.10,DESIGN,//TODO provide proper name?,yes
139,apache-jmeter-2.10,DESIGN,"// TODO: does it matter that an empty line will terminate the loop? // CSV output files should never contain empty lines, so probably // not // If so, then need to check whether the reader is at EOF",yes
140,apache-jmeter-2.10,DESIGN,"/*     * TODO - convert to work more like upgrade.properties/NameUpdater.java     *     * Special processing is carried out for the Header Class The String     * property TestElement.name is converted to Header.name for example:     * <elementProp name=""User-Agent""     * elementType=""org.apache.jmeter.protocol.http.control.Header""> <stringProp     * name=""Header.value"">Mozilla%2F4.0+%28compatible%3B+MSIE+5.5%3B+Windows+98%29</stringProp>     * <stringProp name=""TestElement.name"">User-Agent</stringProp>     * </elementProp> becomes <elementProp name=""User-Agent""     * elementType=""org.apache.jmeter.protocol.http.control.Header""> <stringProp     * name=""Header.value"">Mozilla%2F4.0+%28compatible%3B+MSIE+5.5%3B+Windows+98%29</stringProp>     * <stringProp name=""Header.name"">User-Agent</stringProp> </elementProp>     */",yes
141,apache-jmeter-2.10,DESIGN,"/*     * These must be set before reading/writing the XML. Rather a hack, but     * saves changing all the method calls to include an extra variable.     *     * AFAIK the variables should only be accessed from one thread, so no need to synchronize.     */",yes
142,apache-jmeter-2.10,DESIGN,// TODO: should this be restored?,yes
143,apache-jmeter-2.10,DESIGN,// TODO: not used - make private?,yes
144,apache-jmeter-2.10,DESIGN,// TODO appears to duplicate the threadName field in SampleResult,yes
145,apache-jmeter-2.10,DESIGN,// Yuck: TIFFImageEncoder uses Error to report runtime problems,yes
146,apache-jmeter-2.10,DESIGN,"// a check, just in case:",yes
147,apache-jmeter-2.10,DESIGN,// TODO is this the right thing to do?,yes
148,apache-jmeter-2.10,DESIGN,// not used,yes
149,apache-jmeter-2.10,DESIGN,"// results.setResponseCode(""???""); TODO what code should be set here?",yes
150,apache-jmeter-2.10,DESIGN,// TODO should this implement supportsCustomEditor() ?,yes
151,apache-jmeter-2.10,DESIGN,"// a check, just in case:",yes
152,apache-jmeter-2.10,DESIGN,"// Not used, as the <testResult> element is generated by the // ResultCollector class",yes
153,apache-jmeter-2.10,DESIGN,"/**     * Check if a string is a valid JMeter 'expression'.     * <p>     * The current implementation is very basic: it just accepts any string     * containing ""${"" as a valid expression. TODO: improve, but keep returning     * true for ""${}"".     */",yes
154,apache-jmeter-2.10,DESIGN,// TODO - use or remove,yes
155,apache-jmeter-2.10,DESIGN,"// I guess this can happen as a result of a bad // file read? In this case, it would be better to replace the // incorrect value with anything valid, e.g. the default value // for the property. // But for the time being, I just prefer to be aware of any // problems occuring here, most likely programming errors, // so I'll bail out. // (MS Note) Can't bail out - newly create elements have blank // values and must get the defaults. // Also, when loading previous versions of jmeter test scripts, // some values // may not be right, and should get default values - MS // TODO: review this and possibly change to:",yes
156,apache-jmeter-2.10,DESIGN,// TODO does not work yet; need to determine the sample type,yes
157,apache-jmeter-2.10,DESIGN,// Programming error: bail out.,yes
158,apache-jmeter-2.10,DESIGN,// Temporary fix to allow default protocol to be changed,yes
159,apache-jmeter-2.10,DESIGN,//TODO consider using private logs for each derived class,yes
160,apache-jmeter-2.10,DESIGN,// Does not appear to be used yet,yes
161,apache-jmeter-2.10,DESIGN,// Remember to change this when the class changes ...,yes
162,apache-jmeter-2.10,DESIGN,// TODO temporary hack to avoid unnecessary bug reports for subclasses,yes
163,apache-jmeter-2.10,DESIGN,"// TODO - yet another ambiguous name - does it need changing? // See also: Clearable, JMeterGUIComponent",yes
164,apache-jmeter-2.10,DESIGN,// TODO Is this silent exception intended,yes
165,apache-jmeter-2.10,DESIGN,// Remember to change this when the class changes ...,yes
166,apache-jmeter-2.10,DESIGN,"/*     * The following variables are set by StandardJMeterEngine.     * This is done before start() is called, so the values will be published to the thread safely     * TODO - consider passing them to the constructor, so that they can be made final     * (to avoid adding lots of parameters, perhaps have a parameter wrapper object.     */",yes
167,apache-jmeter-2.10,DESIGN,// TODO should this set the thread names for all the subsamples? // might be more efficient than fetching the name elsewehere,yes
168,apache-jmeter-2.10,DESIGN,"/*         * Setting SamplingStarted before the contollers are initialised allows         * them to access the running values of functions and variables (however         * it does not seem to help with the listeners)         */",yes
169,apache-jmeter-2.10,DESIGN,// TODO: remove this useless Entry parameter,yes
170,apache-jmeter-2.10,DESIGN,// TODO fix this when there is a real implementation,yes
171,apache-jmeter-2.10,DESIGN,// TODO only clear the relevant entry - if possible...,yes
172,apache-jmeter-2.10,DESIGN,// Surely this is always null in the constructor?,yes
173,apache-jmeter-2.10,DESIGN,// TODO why not use the super class value?,yes
174,apache-jmeter-2.10,DESIGN,// TODO - does not appear to be called directly,yes
175,apache-jmeter-2.10,DESIGN,"/** * Custom TrustManager ignores all certificate errors * * TODO: implement conditional checking and logging * * (Derived from AuthSSLX509TrustManager in HttpClient contrib directory) */",yes
176,apache-jmeter-2.10,DESIGN,// Maps to contain page and form encodings // TODO - do these really need to be shared between all Proxy instances?,yes
177,apache-jmeter-2.10,DESIGN,// NOTE: Source and line arguments are nonsense in a call(). //       Any way to make these arguments *sensible?,yes
178,apache-jmeter-2.10,DESIGN,// Is it an exception wrapped in a JavaScriptException?,yes
179,apache-jmeter-2.10,DESIGN,// TODO Why empty block ?,yes
180,apache-jmeter-2.10,DESIGN,// TODO - perhaps this should be a fatal error?,yes
181,apache-jmeter-2.10,DESIGN,// clone will produce correct type // TODO but why do we need to clone the list?,yes
182,apache-jmeter-2.10,DESIGN,// TODO only called by UserParameterXMLParser.getXMLParameters which is a deprecated class,yes
183,apache-jmeter-2.10,DESIGN,// TODO probably not needed,yes
184,apache-jmeter-2.10,DESIGN,//TODO - move to JOrphanUtils?,yes
185,apache-jmeter-2.10,DESIGN,// TODO needs to be synch? Probably not changed after threads have started // JMeter Home directory (excludes trailing separator) // JMeter bin directory (excludes trailing separator),yes
186,apache-jmeter-2.10,DESIGN,"// Hack: bsh-2.0b5.jar BshScriptEngine implements Compilable but throws ""java.lang.Error: unimplemented""",yes
187,apache-jmeter-2.10,DESIGN,// TODO only clear the relevant entry - if possible...,yes
188,apache-jmeter-2.10,DESIGN,// TODO: what is this for?,yes
189,apache-jmeter-2.10,DESIGN,// TODO should equals and hashCode depend on field other than count?,yes
190,apache-jmeter-2.10,DESIGN,// TODO is sync really needed?,yes
191,apache-jmeter-2.10,DESIGN,// TODO is this correct?,yes
192,apache-jmeter-2.10,DESIGN,"// TODO cpercent is the same as cmedian here - why? and why pass it to ""distributionLine""?",yes
193,apache-jmeter-2.10,DESIGN,// TODO should equals and hashCode depend on field other than count?,yes
194,apache-jmeter-2.10,DESIGN,// TODO: Does this method need to be public? It isn't currently // called outside of this class.,yes
195,apache-jmeter-2.10,DESIGN,"// TODO: Should the method signature of this method be changed to // match the super-implementation (using a TestElement parameter // instead of AbstractListenerElement)? This would require an // instanceof check before adding the listener (below), but would // also make the behavior a bit more obvious for sub-classes -- the // Java rules dealing with this situation aren't always intuitive, // and a subclass may think it is calling this version of the method // when it is really calling the superclass version instead.",yes
196,apache-jmeter-2.10,DESIGN,// TODO Should this method be synchronized ? all other function execute are,yes
197,apache-jmeter-2.10,DESIGN,// TODO should the engine be static?,yes
198,apache-jmeter-2.10,DESIGN,// N.B. Commons IO IOUtils has equivalent methods; these were added before IO was included // TODO - perhaps deprecate these in favour of Commons IO?,yes
199,apache-jmeter-2.10,DESIGN,// TODO should this be getMin()?,yes
200,apache-jmeter-2.10,DESIGN,"/*                 * Fix bug: -D arg1=arg2 was causing parse error; however                 * --define arg1=arg2 is OK This seems to be because the parser                 * skips the terminator for the long options, but was not doing                 * so for the short options.                 */",yes
201,apache-jmeter-2.10,DESIGN,// TODO improve the error handling,yes
202,apache-jmeter-2.10,DESIGN,// TODO improve the error handling,yes
203,apache-jmeter-2.10,DESIGN,"/**     * Add logTargets to root logger     * FIXME What's the clean way to add a LogTarget afterwards ?     * @param logTargets LogTarget array     */",yes
204,apache-jmeter-2.10,DESIGN,"// hack to reduce the need to load every class in non-GUI mode, which only needs functions // TODO perhaps use BCEL to scan class files instead? // class name should contain this string // class name should not contain this string",yes
205,apache-jmeter-2.10,DESIGN,"/*             * TODO: Exact ordering is only required for some tests; change the             * comparison to do a set compare where necessary.             */",yes
206,apache-jmeter-2.10,DESIGN,"// TODO field always true, what for ?",yes
207,apache-jmeter-2.10,DESIGN,// TODO - improve this check,yes
208,apache-jmeter-2.10,DESIGN,// TODO - could this be return?,yes
209,apache-jmeter-2.10,DESIGN,"// TODO field always true, what for ?",yes
210,apache-jmeter-2.10,DESIGN,//very wrong.,yes
211,apache-jmeter-2.10,DESIGN,// Remember to change this when the class changes ...,yes
212,apache-jmeter-2.10,DESIGN,// TODO - should this be a failure?,yes
213,apache-jmeter-2.10,DESIGN,"/*     * Wrapper to convert a JUnit4 class into a TestCase     *     *  TODO - work out how to convert JUnit4 assertions so they are treated as failures rather than errors     */",yes
214,apache-jmeter-2.10,DESIGN,// Method is broken anyway,yes
215,apache-jmeter-2.10,DESIGN,// TODO should really return most specific (i.e. longest) match.,yes
216,apache-jmeter-2.10,DESIGN,"// TODO - should this be done for embedded usage? // Note: the element is a ConfigTestElement when used standalone, so we cannot use FTPSampler access methods",yes
217,apache-jmeter-2.10,DESIGN,"// TODO: replace all this url2 mess with a proper method // ""areEquivalent(url1, url2)"" that // would also ignore case in protocol and host names, etc. -- use that // method in the CookieManager too.",yes
218,apache-jmeter-2.10,DESIGN,// TODO is this possible?,yes
219,apache-jmeter-2.10,DESIGN,"/*     * Holder for storing cache details.     * Perhaps add original response later?     */",yes
220,apache-jmeter-2.10,DESIGN,// TODO not used by GUI,yes
221,apache-jmeter-2.10,DESIGN,// not currently used,yes
222,apache-jmeter-2.10,DESIGN,// TODO correct URL?,yes
223,apache-jmeter-2.10,DESIGN,"// NOTE: the handling of simple- vs. double-quotes could be formally // more accurate, but I can't imagine a session id containing // either, so we should be OK. The whole set of expressions is a // quick hack anyway, so who cares.",yes
224,apache-jmeter-2.10,DESIGN,// TODO fix this when there is a real implementation,yes
225,apache-jmeter-2.10,DESIGN,"/*         * TODO improve string version to better match browser behaviour? e.g.         * do browsers regard http://host/ and http://Host:80/ as the same? If         * so, it would be better to reflect this in the string         */",yes
226,apache-jmeter-2.10,DESIGN,// Code also allows for LF only (not sure why - perhaps because the test code uses it?),yes
227,apache-jmeter-2.10,DESIGN,// hack to skip processing,yes
228,apache-jmeter-2.10,DESIGN,// TODO: find a way to avoid the cost of creating a String here -- // probably a new PatternMatcherInput working on a byte[] would do // better.,yes
229,apache-jmeter-2.10,DESIGN,// TODO should setBaseForScript be called here rather than above?,yes
230,apache-jmeter-2.10,DESIGN,"// Java 1.6.0_22+ no longer allows Content-Length to be set, so don't check it. // See: http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6996110 // TODO any point in checking the other headers?",yes
231,apache-jmeter-2.10,DESIGN,"// SampleEvent is not passed JMeterVariables, because they don't make sense for Proxy Recording // TODO - is this the correct threadgroup name?",yes
232,apache-jmeter-2.10,DESIGN,// TODO needs cleaning up,yes
233,apache-jmeter-2.10,DESIGN,// $NON-NLS-1$ TODO should this be a variable?,yes
234,apache-jmeter-2.10,DESIGN,// hack to skip processing,yes
235,apache-jmeter-2.10,DESIGN,// TODO replace repeated substr() above and below with more efficient method.,yes
236,apache-jmeter-2.10,DESIGN,"// TODO perhaps make more specific than this? // no point parsing anything else, e.g. GIF ...",yes
237,apache-jmeter-2.10,DESIGN,// won't work: writeErrorToClient(HttpReplyHdr.formInternalError()); // Generate result (if nec.) and populate it // hack to skip processing,yes
238,apache-jmeter-2.10,DESIGN,"// TODO - should this be done when the client is created? // If so, then the details need to be added as part of HttpClientKey",yes
239,apache-jmeter-2.10,DESIGN,// HACK,yes
240,apache-jmeter-2.10,DESIGN,// May be replaced later,yes
241,apache-jmeter-2.10,DESIGN,"// TODO hack, to be removed later",yes
242,apache-jmeter-2.10,DESIGN,// Could we drop the Sync here?,yes
243,apache-jmeter-2.10,DESIGN,// TODO - should LF-only EOL be allowed? ,yes
244,apache-jmeter-2.10,DESIGN,// DirContext dc = //TODO perhaps return this?,yes
245,apache-jmeter-2.10,DESIGN,// $NON-NLS-1$ // TODO - change to use URL version? Will this affect test plans?,yes
246,apache-jmeter-2.10,DESIGN,// TODO specify collection type without breaking callers,yes
247,apache-jmeter-2.10,DESIGN,// TODO - can this eever happen?,yes
248,apache-jmeter-2.10,DESIGN,// All form parameter always have text/plain as mime type //TODO make this a parameter?,yes
249,apache-jmeter-2.10,DESIGN,// $NON-NLS-1$ // TODO can this be obtained from the file somehow?,yes
250,apache-jmeter-2.10,DESIGN,// Does not appear to be used,yes
251,apache-jmeter-2.10,DESIGN,// NOTUSED: GuiPackage guiPack =,yes
252,apache-jmeter-2.10,DESIGN,// Allow serializable test to work // TODO: is the serializable test necessary now that JMeterTreeNode is // no longer a GUI component?,yes
253,apache-jmeter-2.10,DESIGN,// TODO is null correct?,yes
254,apache-jmeter-2.10,DESIGN,// TODO - how to handle thread stopped here,yes
255,apache-jmeter-2.10,DESIGN,// Slight hack - we need to ensure the TestClass is not reset by the previous call,yes
256,apache-jmeter-2.10,DESIGN,// TODO should this be called if basedir == null?,yes
