ID,projectname,classification,Abstract,label
0,jfreechart-1.0.19,DEFECT,// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3,yes
3,jfreechart-1.0.19,DEFECT,//return cal.getTimeInMillis(); // preceding code won't work with JDK 1.3,yes
7,jfreechart-1.0.19,DEFECT,// FIRST_MONDAY_AFTER_1900 = cal.getTime().getTime(); // preceding code won't work with JDK 1.3,yes
9,jfreechart-1.0.19,DESIGN,// this may be negative,yes
23,jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?,yes
28,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
31,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
33,jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,yes
34,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
36,jfreechart-1.0.19,DESIGN,"// TO DO:  these annotations only work with XYPlot, see if it is possible to // make ContourPlot a subclass of XYPlot (DG);",yes
38,jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?,yes
39,jfreechart-1.0.19,DESIGN,"// not strictly necessary, since the // renderer set for the // parent plot is not used",yes
40,jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?,yes
43,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
45,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
47,jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?,yes
51,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
53,jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,yes
54,jfreechart-1.0.19,DESIGN,"// not strictly necessary, since the // renderer set for the // parent plot is not used",yes
55,jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,yes
57,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
59,jfreechart-1.0.19,DESIGN,// a redraw should NOT trigger another change event,yes
60,jfreechart-1.0.19,DESIGN,// unused in parent,yes
62,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
65,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
66,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
67,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
68,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
71,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
72,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
73,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
74,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
76,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
77,jfreechart-1.0.19,DESIGN,// a redraw should NOT trigger another change event,yes
79,jfreechart-1.0.19,DESIGN,// a redraw should NOT trigger another change event,yes
80,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
82,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
85,jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,yes
86,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
87,jfreechart-1.0.19,DESIGN,// the method we want isn't in the CategoryItemRenderer // interface...,yes
88,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
89,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
94,jfreechart-1.0.19,DESIGN,// unused in parent,yes
95,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
96,jfreechart-1.0.19,DESIGN,"// unused but must return something, so while we are at it...",yes
97,jfreechart-1.0.19,DESIGN,// a redraw should NOT trigger another change event,yes
99,jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,yes
100,jfreechart-1.0.19,DESIGN,// defer argument checking,yes
101,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
102,jfreechart-1.0.19,DESIGN,"// if we are rendering the values as percentages, we need to calculate // the total for the current item.  Unfortunately here we end up // repeating the calculation more times than is strictly necessary - // hopefully I'll come back to this and find a way to add the // total(s) to the renderer state.  The other problem is we implicitly // assume the dataset has no negative values...perhaps that can be // fixed too.",yes
103,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes
