ID,projectname,classification,Abstract,label
27,argouml,DEFECT,// This doesn't work in UML2: both owner and property needed!,yes
33,argouml,DEFECT,"/* Strange, but the Link.getConnection()         * returns a Collection, not a List!         * This is a bug, compared to the UML standard (IMHO, mvw).         * Hence, the LinkEnd is added to the end instead... */",yes
35,argouml,DEFECT,"/* These next lines for the case that the current namespace         * is not a valid one... Which of course should not happen,         * but it does - see the project attached to issue 3772.         */",yes
38,argouml,DEFECT,// Appears to be gone from UML 2.x,yes
41,argouml,DEFECT,"/* This does not work (anymore/yet?),	 * since we never have a FigText here: */",yes
58,argouml,DEFECT,"// XXX this seems to be a bug of the parser, // it always requires a context",yes
65,argouml,DEFECT,"/* Dirty fix for issue 1758 (Needs to be amended             * when we start supporting parameters):             */",yes
71,argouml,DEFECT,// WARNING: the OutputStream version of this doesn't work! - tfm,yes
73,argouml,DEFECT,// WARNING: The GEF implementation of the OutputStream version of  // this method doesn't work - tfm - 20070531,yes
77,argouml,DEFECT,// This will have problems if the smallest possible // data segment is smaller than the size of the buffer // needed for regex matching,yes
81,argouml,DEFECT,"/* Disabled since it gives various problems: e.g. the toolbar icons         * get too wide. Also the default does not give the new java 5.0 looks.        Component tree = ProjectBrowser.getInstance();        SwingUtilities.updateComponentTreeUI(SwingUtilities.getRootPane(tree));        */",yes
87,argouml,DEFECT,/* Many many of these events .. this slows things down: */,yes
89,argouml,DEFECT,// Really ought to have a CriticException to throw here.,yes
97,argouml,DEFECT,"// Status as of Nov. 2008 - Figs created, property panels exist, more // work required on explorer and assumptions about models not being // nested - tfm",yes
108,argouml,DEFECT,/* The next line does not work: */,yes
122,argouml,DEFECT,// Really ought to have a CriticException to throw here.,yes
137,argouml,DESIGN,// These methods are based on the GraphEvents. These need replacing by // more specic meaningful requests of the diagram interface model,yes
156,argouml,DESIGN,// These may not actually make any difference at present (the code // behind addTrigger needs more work).,yes
160,argouml,DESIGN,// These may not actually make any difference at present (the code // behind addTrigger needs more work).,yes
179,argouml,DESIGN,// needs more work: sending and receiving icons,yes
185,argouml,DESIGN,// must be overridden to make sense // (I didn't want to make it abstract because it might not be required),yes
189,argouml,DESIGN,"// Our superclass no longer has this method, so perhaps this whole // thing should be removed? - tfm  //        super.updateListeners(newOwner);",yes
198,argouml,DESIGN,// Check for duplicate name and rename if necessary,yes
223,argouml,DESIGN,// local variables - what do they do?,yes
233,argouml,DESIGN,"// This method has insufficient information to call buildExtensionPoint. // Thus we'll need to create one, and pray that whomever called us knows // what kind of mess they got.",yes
245,argouml,DESIGN,// These may not actually make any difference at present (the code // behind addTrigger needs more work).,yes
249,argouml,DESIGN,// Andreas: just temporary for the uml2 pre-alpha versions!,yes
252,argouml,DESIGN,"/*         * Install the trap to ""eat"" SecurityExceptions.         *         * NOTE: This is temporary and will go away in a ""future"" release         * http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=4714232         */",yes
258,argouml,DESIGN,// Andreas: just temporary: a warning dialog for uml2...,yes
321,argouml,DESIGN,/* This code was copied from ActionBooleanTaggedValue: */,yes
